z_m,z_cm,B_T,B_mT,beam_radius_mm,s_average,eta_available,force_scale,force_margin_fraction,eta_design,v_design_m_s,delta_eff_MHz
0.0,0.0,-0.0009759058426214068,-0.9759058426214068,5.935483870967742,0.5313919377744567,0.3469993047937281,0.9778387636723636,0.0221612363276363,0.3393093711946688,245.0,-2.6919958930640497
0.0001875000000000019,0.01875000000000019,-0.0009647207164857524,-0.9647207164857524,5.936693548387097,0.53117540442124,0.34690695968573926,0.9778387636723636,0.0221612363276363,0.3392190725684418,244.86205993168534,-2.691805566988239
0.0005171875000000003,0.05171875000000003,-0.0009443373185805184,-0.9443373185805184,5.93882056451613,0.5307949901513893,0.34674466038407564,0.9778387636723636,0.0221612363276363,0.3390603700199582,244.6194149594916,-2.6914711618201483
0.0008468750000000004,0.08468750000000004,-0.000923033338080253,-0.923033338080253,5.940947580645161,0.5304149791655487,0.34658245361562406,0.9778387636723636,0.0221612363276363,0.3389017579540362,244.3766443770138,-2.6911370702057256
0.0011765625000000007,0.11765625000000007,-0.0009008008989688424,-0.9008008989688424,5.943074596774194,0.530035379027574,0.3464203412000141,0.9778387636723636,0.0221612363276363,0.33874323814998014,244.13374520126573,-2.690803298084588
0.0015062500000000004,0.15062500000000004,-0.0008776331099273249,-0.8776331099273249,5.945201612903226,0.5296561851372733,0.3462583221651778,0.9778387636723636,0.0221612363276363,0.33858480965726445,243.89071823954262,-2.6904698419383384
0.001835937500000001,0.1835937500000001,-0.0008535241171098127,-0.8535241171098127,5.947328629032258,0.5292773968102472,0.34609639643676865,0.9778387636723636,0.0221612363276363,0.33842647240319007,243.64756308179238,-2.6901367012925204
0.002165625000000001,0.2165625000000001,-0.0008284691565003069,-0.828469156500307,5.949455645161291,0.5288990176755667,0.3459345649347078,0.9778387636723636,0.0221612363276363,0.33826822728729167,243.40427793681138,-2.689803879029536
0.002495312500000001,0.24953125000000012,-0.0008024646056130221,-0.8024646056130221,5.951582661290323,0.5285210388468246,0.3457728256946431,0.9778387636723636,0.0221612363276363,0.33811007238874957,243.16086500309902,-2.6894713682922013
0.002825,0.2825,-0.0007755080342836437,-0.7755080342836437,5.953709677419355,0.5281434721362122,0.34561118152451525,0.9778387636723636,0.0221612363276363,0.3379520104532768,242.91731985500846,-2.689139178332508
0.0031546875000000017,0.3154687500000002,-0.0007475982542840476,-0.7475982542840476,5.955836693548387,0.5277663038310975,0.34544962934342444,0.9778387636723636,0.0221612363276363,0.3377940384682504,242.67364625696806,-2.6888072985343734
0.003484375,0.3484375,-0.0007187353674784482,-0.7187353674784482,5.957963709677419,0.5273895438915502,0.3452881715348973,0.9778387636723636,0.0221612363276363,0.33763615876437497,242.42984034857952,-2.6884757367101075
0.003814062500000002,0.38140625000000017,-0.000688920812224964,-0.688920812224964,5.960090725806452,0.5270131845449476,0.345126806385874,0.9778387636723636,0.0221612363276363,0.3374783696665543,242.1859040004141,-2.688144486865349
0.00414375,0.414375,-0.0006581574077133284,-0.6581574077133284,5.9622177419354845,0.5266372283304104,0.34496553456615037,0.9778387636723636,0.0221612363276363,0.33732067182974046,241.9418357398309,-2.6878135510348544
0.004473437500000002,0.4473437500000002,-0.0006264493959170765,-0.6264493959170765,5.964344758064517,0.5262616756314823,0.3448043562483508,0.9778387636723636,0.0221612363276363,0.3371630654227325,241.69763478130645,-2.6874829295755887
0.004803125000000001,0.4803125000000001,-0.0005938024808273048,-0.5938024808273048,5.96647177419355,0.5258865208580392,0.3446432702185726,0.9778387636723636,0.0221612363276363,0.3370055492585294,241.45330231852577,-2.687152618188882
0.005132812500000002,0.5132812500000002,-0.0005602238646250807,-0.5602238646250807,5.968598790322581,0.5255117725041906,0.34448227853115454,0.9778387636723636,0.0221612363276363,0.33684812534594294,241.20883487286255,-2.6868226235520516
0.0054625,0.54625,-0.0005257222804411473,-0.5257222804411472,5.970725806451614,0.5251374185975135,0.34432137848812866,0.9778387636723636,0.0221612363276363,0.3366907910467958,240.96423577077823,-2.6864929363904495
0.005792187500000002,0.5792187500000002,-0.0004903080213448439,-0.4903080213448439,5.972852822580645,0.5247634705928729,0.3441605728345909,0.9778387636723636,0.0221612363276363,0.33653354904534877,240.71950051513673,-2.68616356569126
0.006121875000000001,0.6121875000000001,-0.0004539929651993569,-0.4539929651993569,5.974979838709678,0.5243899176087181,0.3439998591220909,0.9778387636723636,0.0221612363276363,0.33637639694741267,240.47463209257222,-2.685834503027375
0.0064515625000000024,0.6451562500000003,-0.0004167905950179035,-0.4167905950179035,5.97710685483871,0.5240167653435724,0.34383923875897354,0.9778387636723636,0.0221612363276363,0.33621933613012134,240.22962791460046,-2.685505752899261
