z_m,B_T,target_region,z_mm,B_mT
-0.013,-0.002903652651723161,left_cubic_extension,-13.0,-2.9036526517231613
-0.012908450704225352,-0.0028918054231066226,left_cubic_extension,-12.908450704225352,-2.8918054231066224
-0.012816901408450704,-0.0028799567717032446,left_cubic_extension,-12.816901408450704,-2.879956771703245
-0.012725352112676057,-0.0028681066954269353,left_cubic_extension,-12.725352112676056,-2.868106695426935
-0.012633802816901407,-0.0028562551921916014,left_cubic_extension,-12.633802816901408,-2.8562551921916013
-0.01254225352112676,-0.002844402259911152,left_cubic_extension,-12.54225352112676,-2.844402259911152
-0.012450704225352112,-0.002832547896499493,left_cubic_extension,-12.450704225352112,-2.8325478964994932
-0.012359154929577464,-0.0028206920998705347,left_cubic_extension,-12.359154929577464,-2.8206920998705347
-0.012267605633802817,-0.0028088348679381828,left_cubic_extension,-12.267605633802816,-2.8088348679381827
-0.012176056338028169,-0.002796976198616346,left_cubic_extension,-12.17605633802817,-2.796976198616346
-0.012084507042253521,-0.0027851160898189316,left_cubic_extension,-12.084507042253522,-2.7851160898189318
-0.011992957746478872,-0.002773254539459847,left_cubic_extension,-11.992957746478872,-2.773254539459847
-0.011901408450704224,-0.0027613915454530007,left_cubic_extension,-11.901408450704224,-2.7613915454530007
-0.011809859154929577,-0.0027495271057123008,left_cubic_extension,-11.809859154929576,-2.7495271057123007
-0.01171830985915493,-0.0027376612181516545,left_cubic_extension,-11.71830985915493,-2.7376612181516546
-0.011626760563380282,-0.002725793880684969,left_cubic_extension,-11.626760563380282,-2.7257938806849693
-0.011535211267605634,-0.002713925091226153,left_cubic_extension,-11.535211267605634,-2.713925091226153
-0.011443661971830985,-0.0027020548476891135,left_cubic_extension,-11.443661971830984,-2.7020548476891135
-0.011352112676056337,-0.002690183147987759,left_cubic_extension,-11.352112676056336,-2.6901831479877587
-0.01126056338028169,-0.0026783099900359966,left_cubic_extension,-11.26056338028169,-2.678309990035997
-0.011169014084507042,-0.0026664353717477346,left_cubic_extension,-11.169014084507042,-2.6664353717477347
-0.011077464788732394,-0.0026545592910368803,left_cubic_extension,-11.077464788732394,-2.6545592910368803
-0.010985915492957746,-0.002642681745817341,left_cubic_extension,-10.985915492957746,-2.6426817458173413
-0.010894366197183099,-0.0026308027340030266,left_cubic_extension,-10.894366197183098,-2.6308027340030264
-0.010802816901408451,-0.0026189222535078424,left_cubic_extension,-10.802816901408452,-2.6189222535078422
-0.010711267605633802,-0.002607040302245697,left_cubic_extension,-10.711267605633802,-2.607040302245697
-0.010619718309859154,-0.0025951568781304984,left_cubic_extension,-10.619718309859154,-2.5951568781304983
-0.010528169014084507,-0.002583271979076154,left_cubic_extension,-10.528169014084506,-2.5832719790761542
-0.010436619718309859,-0.0025713856029965718,left_cubic_extension,-10.436619718309858,-2.5713856029965716
-0.010345070422535211,-0.0025594977478056603,left_cubic_extension,-10.345070422535212,-2.5594977478056604
-0.010253521126760562,-0.0025476084114173254,left_cubic_extension,-10.253521126760562,-2.5476084114173254
-0.010161971830985914,-0.0025357175917454767,left_cubic_extension,-10.161971830985914,-2.5357175917454766
-0.010070422535211267,-0.002523825286704021,left_cubic_extension,-10.070422535211266,-2.523825286704021
-0.009978873239436619,-0.002511931494206866,left_cubic_extension,-9.978873239436618,-2.5119314942068662
-0.009887323943661971,-0.00250003621216792,left_cubic_extension,-9.887323943661972,-2.5000362121679203
-0.009795774647887324,-0.0024881394385010904,left_cubic_extension,-9.795774647887324,-2.4881394385010904
-0.009704225352112676,-0.002476241171120285,left_cubic_extension,-9.704225352112676,-2.476241171120285
-0.009612676056338029,-0.0024643414079394115,left_cubic_extension,-9.612676056338028,-2.4643414079394117
-0.00952112676056338,-0.0024524401468723777,left_cubic_extension,-9.52112676056338,-2.4524401468723775
-0.009429577464788732,-0.0024405373858330916,left_cubic_extension,-9.429577464788732,-2.4405373858330917
-0.009338028169014084,-0.0024286331227354606,left_cubic_extension,-9.338028169014084,-2.4286331227354605
-0.009246478873239436,-0.0024167273554933926,left_cubic_extension,-9.246478873239436,-2.4167273554933923
-0.009154929577464789,-0.0024048200820207958,left_cubic_extension,-9.154929577464788,-2.404820082020796
-0.00906338028169014,-0.0023929113002315763,left_cubic_extension,-9.06338028169014,-2.3929113002315763
-0.008971830985915492,-0.002381001008039644,left_cubic_extension,-8.971830985915492,-2.381001008039644
-0.008880281690140844,-0.0023690892033589057,left_cubic_extension,-8.880281690140844,-2.3690892033589055
-0.008788732394366196,-0.002357175884103269,left_cubic_extension,-8.788732394366196,-2.357175884103269
-0.008697183098591549,-0.0023452610481866417,left_cubic_extension,-8.697183098591548,-2.3452610481866416
-0.008605633802816901,-0.0023333446935229316,left_cubic_extension,-8.605633802816902,-2.3333446935229314
-0.008514084507042254,-0.0023214268180260468,left_cubic_extension,-8.514084507042254,-2.3214268180260467
-0.008422535211267606,-0.0023095074196098947,left_cubic_extension,-8.422535211267606,-2.309507419609895
-0.008330985915492958,-0.0022975864961883832,left_cubic_extension,-8.330985915492958,-2.297586496188383
-0.00823943661971831,-0.00228566404567542,left_cubic_extension,-8.23943661971831,-2.2856640456754196
-0.008147887323943661,-0.0022737400659849126,left_cubic_extension,-8.147887323943662,-2.2737400659849127
-0.008056338028169014,-0.002261814555030769,left_cubic_extension,-8.056338028169014,-2.261814555030769
-0.007964788732394366,-0.0022498875107268973,left_cubic_extension,-7.964788732394366,-2.2498875107268974
-0.007873239436619717,-0.002237958930987205,left_cubic_extension,-7.873239436619716,-2.237958930987205
-0.00778169014084507,-0.0022260288137255996,left_cubic_extension,-7.78169014084507,-2.2260288137255997
-0.007690140845070422,-0.002214097156855989,left_cubic_extension,-7.690140845070422,-2.2140971568559893
-0.007598591549295774,-0.0022021639582922806,left_cubic_extension,-7.598591549295774,-2.2021639582922807
-0.007507042253521126,-0.0021902292159483834,left_cubic_extension,-7.507042253521126,-2.1902292159483836
-0.007415492957746479,-0.0021782929277382036,left_cubic_extension,-7.415492957746479,-2.1782929277382035
-0.007323943661971831,-0.00216635509157565,left_cubic_extension,-7.323943661971831,-2.16635509157565
-0.0072323943661971824,-0.00215441570537463,left_cubic_extension,-7.232394366197182,-2.15441570537463
-0.007140845070422535,-0.002142474767049051,left_cubic_extension,-7.140845070422535,-2.142474767049051
-0.007049295774647887,-0.0021305322745128214,left_cubic_extension,-7.049295774647887,-2.1305322745128215
-0.006957746478873239,-0.0021185882256798487,left_cubic_extension,-6.957746478873239,-2.118588225679849
-0.006866197183098591,-0.002106642618464041,left_cubic_extension,-6.866197183098591,-2.1066426184640408
-0.0067746478873239434,-0.002094695450779305,left_cubic_extension,-6.774647887323943,-2.094695450779305
-0.006683098591549296,-0.00208274672053955,left_cubic_extension,-6.683098591549296,-2.08274672053955
-0.006591549295774647,-0.0020707964256586817,left_cubic_extension,-6.591549295774647,-2.0707964256586817
-0.0065,-0.00205884456405061,left_cubic_extension,-6.5,-2.05884456405061
