z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_available,force_scale,force_margin_fraction,eta_design,v_design_m_s,delta_eff_MHz
0.0,0.0,-0.007932547108501399,-7.9325471085013985,5.935483870967742,1.0627838755489134,0.5152182388792927,0.8388737089331819,0.16112629106681808,0.4322030349586944,280.0,-9.095563799176047
9.25e-05,0.00925,-0.007918929435631418,-7.918929435631418,5.93608064516129,1.0625701958006364,0.5151680160820777,0.8388737089331819,0.16112629106681808,0.43216090437452165,279.9241590670327,-9.0950926911408
0.000185,0.0185,-0.007905309414494301,-7.905309414494301,5.936677419354838,1.0623565804884785,0.5151177980273686,0.8388737089331819,0.16112629106681808,0.4321187777687124,279.84830497651075,-9.094621700777669
0.00027749999999999997,0.027749999999999997,-0.007891687043045272,-7.8916870430452715,5.937274193548387,1.0621430295865333,0.5150675847152546,0.8388737089331819,0.16112629106681808,0.4320766551413415,279.77243771703354,-9.094150828047804
0.00037,0.037,-0.007878062319236977,-7.878062319236977,5.937870967741936,1.0619295430689089,0.5150173761458248,0.8388737089331819,0.16112629106681808,0.4320345364924837,279.696557277186,-9.093680072912392
0.0004625,0.04625,-0.007864435241019548,-7.864435241019548,5.938467741935484,1.0617161209097261,0.5149671723191682,0.8388737089331819,0.16112629106681808,0.43199242182221365,279.62066364553885,-9.093209435332625
0.0005549999999999999,0.055499999999999994,-0.007850805806340505,-7.850805806340506,5.939064516129033,1.061502763083118,0.5149169732353733,0.8388737089331819,0.16112629106681808,0.4319503111306056,279.54475681064855,-9.092738915269697
0.0006475,0.06475,-0.007837174013144882,-7.837174013144882,5.939661290322581,1.0612894695632318,0.5148667788945283,0.8388737089331819,0.16112629106681808,0.4319082044177334,279.46883676105733,-9.092268512684848
0.00074,0.074,-0.007823539859375062,-7.823539859375062,5.9402580645161285,1.0610762403242269,0.5148165892967207,0.8388737089331819,0.16112629106681808,0.43186610168367073,279.39290348529283,-9.09179822753932
0.0008325,0.08325,-0.007809903342970908,-7.809903342970908,5.940854838709677,1.0608630753402757,0.5147664044420386,0.8388737089331819,0.16112629106681808,0.43182400292849127,279.31695697186854,-9.091328059794359
