z_m,z_mm,B_original_mT,B_T,B_mT,entrance_negative_clamped_to_zero
0.0,0.0,1.6729051049035635,0.0016729051049035634,1.6729051049035635,False
0.0006187290969899666,0.6187290969899666,1.7402540882863948,0.0017402540882863948,1.7402540882863948,False
0.0012374581939799331,1.2374581939799332,1.8077135387173793,0.0018077135387173794,1.8077135387173793,False
0.0018561872909699,1.8561872909699,1.8752840015565615,0.0018752840015565616,1.8752840015565615,False
0.0024749163879598662,2.4749163879598663,1.9429660266660616,0.0019429660266660617,1.9429660266660616,False
0.003093645484949833,3.0936454849498327,2.0107601684623444,0.0020107601684623442,2.0107601684623444,False
0.0037123745819397994,3.7123745819397995,2.0786669859691327,0.0020786669859691326,2.0786669859691327,False
0.004331103678929766,4.331103678929766,2.146687042871225,0.002146687042871225,2.146687042871225,False
0.0049498327759197325,4.949832775919733,2.214820907569089,0.0022148209075690886,2.214820907569089,False
0.005568561872909699,5.568561872909699,2.2830691532342584,0.0022830691532342586,2.2830691532342584,False
0.006187290969899666,6.187290969899665,2.351432357865604,0.002351432357865604,2.351432357865604,False
0.006806020066889632,6.806020066889632,2.4199111043464416,0.0024199111043464415,2.4199111043464416,False
0.007424749163879599,7.424749163879599,2.4885059805025174,0.0024885059805025175,2.4885059805025174,False
0.008043478260869565,8.043478260869565,2.55721757916086,0.00255721757916086,2.55721757916086,False
0.008662207357859534,8.662207357859534,2.6260464982095986,0.0026260464982095985,2.6260464982095986,False
0.009280936454849498,9.280936454849499,2.694993340658619,0.002694993340658619,2.694993340658619,False
0.009899665551839465,9.899665551839465,2.7640587147012017,0.0027640587147012017,2.7640587147012017,False
0.010518394648829432,10.518394648829432,2.833243233776665,0.002833243233776665,2.833243233776665,False
0.011137123745819398,11.137123745819398,2.902547516633857,0.002902547516633857,2.902547516633857,False
0.011755852842809365,11.755852842809364,2.9719721873957927,0.0029719721873957927,2.9719721873957927,False
0.012374581939799331,12.37458193979933,3.041517875625185,0.0030415178756251853,3.041517875625185,False
0.012993311036789296,12.993311036789295,3.1111852163910663,0.0031111852163910663,3.1111852163910663,False
0.013612040133779264,13.612040133779264,3.1809748503364403,0.00318097485033644,3.1809748503364403,False
0.01423076923076923,14.230769230769232,3.2508874237470375,0.0032508874237470375,3.2508874237470375,False
0.014849498327759196,14.849498327759196,3.3209235886211066,0.0033209235886211066,3.3209235886211066,False
0.015468227424749164,15.468227424749164,3.391084002740383,0.003391084002740383,3.391084002740383,False
0.01608695652173913,16.08695652173913,3.4613693297421766,0.003461369329742177,3.4613693297421766,False
0.016705685618729097,16.705685618729095,3.531780239192568,0.003531780239192568,3.531780239192568,False
0.017324414715719064,17.324414715719065,3.602317406660868,0.003602317406660868,3.602317406660868,False
0.01794314381270903,17.94314381270903,3.6729815137952126,0.0036729815137952126,3.6729815137952126,False
0.018561872909699,18.561872909699,3.7437732483994486,0.0037437732483994487,3.7437732483994486,False
0.019180602006688963,19.180602006688964,3.814693304511215,0.003814693304511215,3.814693304511215,False
0.019799331103678926,19.799331103678927,3.885742382481327,0.003885742382481327,3.885742382481327,False
0.020418060200668896,20.418060200668897,3.956921189054505,0.003956921189054505,3.956921189054505,False
0.021036789297658863,21.036789297658864,4.0282304374513345,0.0040282304374513345,4.0282304374513345,False
0.02165551839464883,21.65551839464883,4.099670847451718,0.004099670847451719,4.099670847451718,False
0.0222742474916388,22.2742474916388,4.171243145479576,0.004171243145479576,4.171243145479576,False
0.02289297658862876,22.89297658862876,4.242948064689065,0.004242948064689065,4.242948064689065,False
0.02351170568561873,23.51170568561873,4.314786345052193,0.004314786345052193,4.314786345052193,False
0.024130434782608692,24.130434782608692,4.386758733447894,0.004386758733447894,4.386758733447894,False
0.024749163879598662,24.74916387959866,4.458865983752649,0.00445886598375265,4.458865983752649,False
0.02536789297658863,25.367892976588628,4.531108856932601,0.004531108856932601,4.531108856932601,False
0.025986622073578595,25.986622073578594,4.603488121137242,0.004603488121137242,4.603488121137242,False
0.02660535117056856,26.605351170568557,4.676004551794748,0.004676004551794749,4.676004551794748,False
0.02722408026755853,27.224080267558527,4.748658931708837,0.004748658931708837,4.748658931708837,False
0.02784280936454849,27.84280936454849,4.82145205115742,0.004821452051157421,4.82145205115742,False
0.02846153846153846,28.461538461538463,4.894384707992856,0.004894384707992856,4.894384707992856,False
0.02908026755852843,29.08026755852843,4.967457707744003,0.004967457707744004,4.967457707744003,False
0.029698996655518395,29.698996655518396,5.040671863719996,0.005040671863719996,5.040671863719996,False
0.03031772575250836,30.317725752508363,5.114027997115889,0.005114027997115889,5.114027997115889,False
0.030936454849498328,30.93645484949833,5.187526937120086,0.005187526937120086,5.187526937120086,False
0.03155518394648829,31.55518394648829,5.26116952102373,0.00526116952102373,5.26116952102373,False
0.03217391304347826,32.17391304347826,5.334956594331969,0.005334956594331968,5.334956594331969,False
0.03279264214046823,32.79264214046823,5.408889010877218,0.005408889010877218,5.408889010877218,False
0.033411371237458194,33.41137123745819,5.4829676329344235,0.005482967632934424,5.4829676329344235,False
0.03403010033444816,34.03010033444816,5.557193331338424,0.005557193331338424,5.557193331338424,False
0.03464882943143813,34.64882943143813,5.631566985603349,0.005631566985603349,5.631566985603349,False
0.0352675585284281,35.2675585284281,5.706089484044251,0.005706089484044252,5.706089484044251,False
0.03588628762541806,35.88628762541806,5.780761723900869,0.0057807617239008695,5.780761723900869,False
0.03650501672240802,36.505016722408016,5.855584611463675,0.0058555846114636744,5.855584611463675,False
0.037123745819397994,37.123745819397996,5.9305590622022,0.0059305590622022,5.9305590622022,False
0.03774247491638796,37.742474916387955,6.005686000895728,0.006005686000895728,6.005686000895728,False
0.03836120401337793,38.36120401337793,6.080966361766369,0.006080966361766369,6.080966361766369,False
0.03897993311036789,38.97993311036789,6.156401088614615,0.006156401088614615,6.156401088614615,False
0.03959866220735785,39.598662207357854,6.2319911349573855,0.006231991134957386,6.2319911349573855,False
0.04021739130434783,40.21739130434783,6.307737464168661,0.006307737464168662,6.307737464168661,False
0.04083612040133779,40.836120401337794,6.383641049622699,0.006383641049622699,6.383641049622699,False
0.04145484949832776,41.45484949832776,6.459702874840016,0.006459702874840016,6.459702874840016,False
0.042073578595317726,42.07357859531773,6.535923933636047,0.006535923933636047,6.535923933636047,False
0.042692307692307696,42.69230769230769,6.612305230272663,0.0066123052302726635,6.612305230272663,False
0.04331103678929766,43.31103678929766,6.688847779612517,0.006688847779612517,6.688847779612517,False
0.043929765886287615,43.92976588628761,6.765552607276425,0.0067655526072764255,6.765552607276425,False
0.04454849498327759,44.54849498327759,6.842420749803649,0.006842420749803649,6.842420749803649,False
0.04516722408026756,45.16722408026756,6.919453254815344,0.006919453254815344,6.919453254815344,False
0.045785953177257525,45.785953177257525,6.996651181181162,0.006996651181181162,6.996651181181162,False
0.04640468227424749,46.40468227424749,7.074015599189044,0.007074015599189044,7.074015599189044,False
0.04702341137123746,47.02341137123746,7.151547590718353,0.007151547590718353,7.151547590718353,False
0.04764214046822743,47.64214046822743,7.229248249416391,0.007229248249416391,7.229248249416391,False
0.04826086956521739,48.26086956521739,7.307118680878397,0.0073071186808783975,7.307118680878397,False
0.04887959866220736,48.879598662207364,7.385160002831074,0.007385160002831074,7.385160002831074,False
0.049498327759197325,49.49832775919732,7.463373345319798,0.0074633733453197985,7.463373345319798,False
0.050117056856187295,50.1170568561873,7.541759850899491,0.007541759850899491,7.541759850899491,False
0.05073578595317726,50.735785953177256,7.620320674829419,0.00762032067482942,7.620320674829419,False
0.051354515050167214,51.354515050167215,7.699056985271778,0.0076990569852717775,7.699056985271778,False
0.05197324414715719,51.97324414715719,7.777969963494399,0.007777969963494399,7.777969963494399,False
0.05259197324414716,52.59197324414716,7.857060804077507,0.007857060804077507,7.857060804077507,False
0.05321070234113712,53.210702341137115,7.936330715124704,0.007936330715124704,7.936330715124704,False
