z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_available,force_scale,force_margin_fraction,eta_design,v_design_m_s,delta_eff_MHz
0.0,0.0,-0.006391543171799739,-6.391543171799738,5.935483870967742,1.0627838755489134,0.5152182388792927,0.8388737089331819,0.161126291066818,0.4322030349586944,280.0,-9.095563799176048
0.0001875000000000019,0.01875000000000019,-0.00642925677779828,-6.42925677779828,5.936693548387097,1.06235080884248,0.515116440910825,0.8388737089331819,0.161126291066818,0.43211763931932395,279.84625451003836,-9.094608974487672
0.0005171875000000003,0.05171875000000003,-0.006494453736944763,-6.494453736944763,5.93882056451613,1.0615899803027784,0.5149374938067894,0.8388737089331819,0.161126291066818,0.43196752529845883,279.57578629383,-9.092931256241364
0.0008468750000000004,0.08468750000000004,-0.006558153010817464,-6.558153010817463,5.940947580645161,1.0608299583310974,0.5147586061814723,0.8388737089331819,0.161126291066818,0.4318174611727268,279.30515241416947,-9.091255011424012
0.0011765625000000007,0.11765625000000007,-0.0066202675816720985,-6.620267581672098,5.943074596774194,1.0600707580551483,0.5145797792405884,0.8388737089331819,0.161126291066818,0.43166744795357037,279.0343490041587,-9.089580268052615
0.0015062500000000004,0.15062500000000004,-0.006680710891464745,-6.680710891464745,5.945201612903226,1.0593123702745466,0.5144010123951664,0.8388737089331819,0.161126291066818,0.4315174851469169,278.76337719567204,-9.087907009698759
0.001835937500000001,0.1835937500000001,-0.0067393970726229635,-6.739397072622963,5.947328629032258,1.0585547936204944,0.514222305633002,0.8388737089331819,0.161126291066818,0.43136757274252857,278.49223651487193,-9.0862352342371
0.002165625000000001,0.2165625000000001,-0.0067962411839187645,-6.796241183918764,5.949455645161291,1.0577980353511334,0.5140436595829968,0.8388737089331819,0.161126291066818,0.4312177112679744,278.220924670464,-9.084564955322367
0.002495312500000001,0.24953125000000012,-0.006851159450455897,-6.8511594504558975,5.951582661290323,1.057042077693649,0.5138650730147207,0.8388737089331819,0.161126291066818,0.4310678996910791,277.94944462327067,-9.08289614082571
0.002825,0.2825,-0.00690406950671556,-6.90406950671556,5.953709677419355,1.0562869442724243,0.51368654777525,0.8388737089331819,0.161126291066818,0.43091813956130615,277.6777906168367,-9.081228834346462
0.0031546875000000017,0.3154687500000002,-0.006954890641541341,-6.954890641541341,5.955836693548387,1.055532607662195,0.5135080819126068,0.8388737089331819,0.161126291066818,0.4307684292411926,277.4059676706062,-9.079562986080889
