z_m,z_mm,B_T,B_mT,in_original_range,B_original_interp_mT,B_degree6_unanchored_mT
-0.013,-13.0,0.004462539839358589,4.462539839358589,False,,4.5215191236478365
-0.012824166666666666,-12.824166666666667,0.004468529278430019,4.468529278430019,False,,4.527508562719267
-0.012648333333333333,-12.648333333333333,0.004474681185593016,4.474681185593016,False,,4.533660469882261
-0.0124725,-12.472499999999998,0.004480994021182476,4.480994021182476,False,,4.539973305471723
-0.012296666666666666,-12.296666666666665,0.004487466255960743,4.487466255960743,False,,4.54644554024999
-0.012120833333333332,-12.120833333333332,0.004494096371074769,4.494096371074769,False,,4.553075655364015
-0.011944999999999999,-11.944999999999999,0.00450088285801341,4.5008828580134095,False,,4.559862142302656
-0.011769166666666666,-11.769166666666665,0.004507824218564759,4.507824218564759,False,,4.566803502854005
-0.011593333333333332,-11.593333333333332,0.004514918964773592,4.514918964773592,False,,4.5738982490628395
-0.011417499999999999,-11.417499999999999,0.00452216561889889,4.522165618898891,False,,4.581144903188136
-0.011241666666666665,-11.241666666666665,0.0045295627133714236,4.529562713371424,False,,4.588541997660669
-0.011065833333333332,-11.065833333333332,0.004537108790751454,4.537108790751454,False,,4.596088075040701
-0.01089,-10.89,0.004544802403686503,4.544802403686504,False,,4.603781687975751
-0.010714166666666667,-10.714166666666667,0.004552642114869191,4.552642114869191,False,,4.611621399158439
-0.010538333333333334,-10.538333333333334,0.004560626496995188,4.560626496995188,False,,4.6196057812844336
-0.0103625,-10.3625,0.004568754132721222,4.568754132721223,False,,4.62773341701047
-0.010186666666666667,-10.186666666666667,0.004577023614623194,4.577023614623194,False,,4.636002898912441
-0.010010833333333333,-10.010833333333334,0.004585433545154347,4.585433545154347,False,,4.644412829443593
-0.009835,-9.835,0.0045939825366035445,4.593982536603544,False,,4.652961820892791
-0.009659166666666667,-9.659166666666666,0.004602669211053631,4.602669211053631,False,,4.661648495342878
-0.009483333333333333,-9.483333333333333,0.004611492200339859,4.6114922003398595,False,,4.670471484629107
-0.0093075,-9.3075,0.0046204501460084,4.6204501460084,False,,4.679429430297647
-0.009131666666666666,-9.131666666666666,0.0046295416992749635,4.629541699274964,False,,4.688520983564211
-0.008955833333333333,-8.955833333333333,0.004638765520983483,4.638765520983483,False,,4.697744805272729
-0.00878,-8.78,0.0046481202815648655,4.648120281564865,False,,4.7070995658541115
-0.008604166666666666,-8.604166666666666,0.004657604660995867,4.657604660995867,False,,4.716583945285114
-0.008428333333333333,-8.428333333333333,0.0046672173487580255,4.667217348758025,False,,4.726196633047273
-0.0082525,-8.2525,0.004676957043796668,4.676957043796668,False,,4.7359363280859155
-0.008076666666666666,-8.076666666666666,0.004686822454480025,4.686822454480025,False,,4.745801738769271
-0.007900833333333333,-7.900833333333333,0.004696812298558407,4.696812298558407,False,,4.755791582847654
-0.007724999999999999,-7.725,0.004706925303123494,4.706925303123494,False,,4.76590458741274
-0.007549166666666666,-7.5491666666666655,0.004717160204567668,4.717160204567668,False,,4.7761394888569155
-0.0073733333333333324,-7.373333333333332,0.004727515748543463,4.727515748543463,False,,4.7864950328327085
-0.007197499999999999,-7.197499999999999,0.004737990689923073,4.737990689923072,False,,4.79696997421232
-0.007021666666666666,-7.021666666666666,0.004748583792757973,4.748583792757973,False,,4.807563077047218
-0.006845833333333332,-6.845833333333332,0.004759293830238586,4.759293830238586,False,,4.818273114527831
-0.006669999999999999,-6.669999999999999,0.004770119584654073,4.770119584654073,False,,4.82909886894332
-0.0064941666666666654,-6.494166666666666,0.0047810598473521735,4.781059847352173,False,,4.84003913164142
-0.006318333333333332,-6.3183333333333325,0.004792113418699144,4.792113418699143,False,,4.851092702988391
-0.006142499999999999,-6.142499999999998,0.004803279108039788,4.803279108039788,False,,4.862258392329035
-0.005966666666666665,-5.966666666666665,0.004814555733657548,4.8145557336575475,False,,4.873535017946794
-0.005790833333333333,-5.790833333333333,0.004825942122734695,4.825942122734696,False,,4.884921407023943
-0.005614999999999999,-5.614999999999999,0.00483743711131261,4.83743711131261,False,,4.896416395601856
-0.005439166666666666,-5.439166666666666,0.004849039544252131,4.849039544252131,False,,4.908018828541378
-0.0052633333333333325,-5.263333333333333,0.004860748275193982,4.860748275193982,False,,4.919727559483228
-0.005087499999999998,-5.087499999999999,0.004872562166519311,4.872562166519311,False,,4.931541450808557
-0.004911666666666665,-4.911666666666665,0.004884480089310273,4.884480089310273,False,,4.94345937359952
-0.0047358333333333315,-4.735833333333331,0.004896500923310754,4.896500923310754,False,,4.955480207600002
-0.00456,-4.56,0.004908623556887095,4.908623556887094,False,,4.96760284117634
-0.004384166666666666,-4.384166666666666,0.00492084688698898,4.92084688698898,False,,4.979826171278227
-0.004208333333333333,-4.208333333333333,0.004933169819110362,4.933169819110362,False,,4.9921491033996075
-0.0040325,-4.0325,0.0049455912672504935,4.945591267250493,False,,5.004570551539739
-0.0038566666666666662,-3.856666666666666,0.00495811015387501,4.95811015387501,False,,5.0170894381642555
-0.003680833333333333,-3.6808333333333327,0.004970725409877143,4.970725409877143,False,,5.029704694166391
-0.0035049999999999994,-3.5049999999999994,0.004983435974538984,4.983435974538984,False,,5.042415258828229
-0.003329166666666666,-3.329166666666666,0.004996240795492822,4.996240795492822,False,,5.055220079782069
-0.0031533333333333326,-3.1533333333333324,0.005009138828682614,5.009138828682613,False,,5.068118112971861
-0.0029774999999999992,-2.977499999999999,0.005022129038325473,5.022129038325473,False,,5.08110832261472
-0.002801666666666666,-2.801666666666666,0.005035210396873298,5.035210396873298,False,,5.094189681162545
-0.0026258333333333325,-2.6258333333333326,0.005048381884974451,5.048381884974451,False,,5.107361169263696
-0.002449999999999999,-2.449999999999999,0.005061642491435531,5.061642491435531,False,,5.120621775724777
-0.0022741666666666657,-2.2741666666666656,0.005074991213183227,5.074991213183227,False,,5.1339704974724745
-0.0020983333333333323,-2.0983333333333323,0.005088427055226269,5.088427055226269,False,,5.147406339515516
-0.0019224999999999989,-1.9224999999999988,0.0051019490306174285,5.101949030617429,False,,5.160928314906674
-0.0017466666666666655,-1.7466666666666655,0.005115556160415645,5.115556160415645,False,,5.17453544470489
-0.001570833333333332,-1.570833333333332,0.005129247473648195,5.129247473648196,False,,5.188226757937441
-0.0013949999999999987,-1.3949999999999987,0.005143022007272987,5.143022007272987,False,,5.202001291562232
-0.0012191666666666653,-1.2191666666666652,0.005156878806140899,5.156878806140899,False,,5.215858090430146
-0.0010433333333333319,-1.043333333333332,0.005170816922958224,5.170816922958224,False,,5.229796207247469
-0.0008674999999999985,-0.8674999999999985,0.005184835418249196,5.184835418249196,False,,5.243814702538444
-0.0006916666666666651,-0.6916666666666651,0.005198933360318585,5.198933360318585,False,,5.257912644607832
-0.0005158333333333317,-0.5158333333333317,0.0052131098252144025,5.213109825214403,False,,5.272089109503648
-0.0003399999999999983,-0.3399999999999983,0.005227363896690649,5.227363896690649,False,,5.286343180979896
-0.0001641666666666649,-0.1641666666666649,0.005241694666170209,5.2416946661702095,False,,5.300673950459457
0.0,0.0,0.005255143016902623,5.255143016902623,True,5.255143016902623,5.314122301191869
1.1666666666668504e-05,0.011666666666668504,0.005256297022196394,5.256297022196394,True,5.256297022196394,5.315080516996994
0.0001875000000000019,0.1875000000000019,0.00527368953055252,5.27368953055252,True,5.27368953055252,5.329561987242009
0.0003633333333333353,0.3633333333333353,0.005291082038908645,5.2910820389086455,True,5.2910820389086455,5.344117475401923
0.0005391666666666687,0.5391666666666687,0.0053084745472647705,5.308474547264771,True,5.308474547264771,5.358746103205285
0.0006187290969899666,0.6187290969899666,0.005316344444331491,5.316344444331491,True,5.316344444331491,5.365389178850584
0.0007150000000000021,0.7150000000000021,0.005325882600597026,5.3258826005970255,True,5.3258826005970255,5.373446999865027
0.0008908333333333355,0.8908333333333355,0.005343303500968642,5.343303500968642,True,5.343303500968642,5.388219302041834
0.0010666666666666689,1.0666666666666689,0.005360724401340258,5.360724401340258,True,5.360724401340258,5.403062153807579
0.0012374581939799331,1.2374581939799332,0.005377645778676602,5.377645778676602,True,5.377645778676602,5.417546144448289
0.0012425000000000005,1.2425000000000006,0.005378146119818206,5.378146119818206,True,5.378146119818206,5.417974706608845
0.001418333333333334,1.418333333333334,0.0053955955517046945,5.3955955517046945,True,5.3955955517046945,5.4329561192305365
0.0015941666666666673,1.5941666666666674,0.005413044983591183,5.413044983591183,True,5.413044983591183,5.448005557759561
0.0017700000000000007,1.7700000000000007,0.0054304944154776715,5.430494415477671,True,5.430494415477671,5.46312219554861
0.0018561872909699,1.8561872909699,0.005439047510813749,5.439047510813749,True,5.439047510813749,5.470556130958534
0.0019458333333333341,1.9458333333333342,0.005447958465443985,5.4479584654439845,True,5.4479584654439845,5.478305213180015
0.0021216666666666675,2.1216666666666675,0.005465436569490834,5.4654365694908345,True,5.4654365694908345,5.49355379842968
0.002297500000000001,2.2975000000000008,0.005482914673537684,5.482914673537684,True,5.482914673537684,5.5088671462311165
0.0024733333333333343,2.4733333333333345,0.005500392777584534,5.500392777584534,True,5.500392777584534,5.524244458639541
0.0024749163879598662,2.4749163879598663,0.005500550135651687,5.500550135651687,True,5.500550135651687,5.524383191078591
0.0026491666666666695,2.6491666666666696,0.005517899436179978,5.517899436179978,True,5.517899436179978,5.539684944796073
0.002825000000000003,2.825000000000003,0.005535406354191996,5.535406354191996,True,5.535406354191996,5.555187820892
0.0030008333333333363,3.000833333333336,0.005552913272204013,5.552913272204013,True,5.552913272204013,5.570752310133143
0.003093645484949833,3.0936454849498327,0.005562154152178624,5.562154152178624,True,5.562154152178624,5.578992477740331
0.0031766666666666697,3.17666666666667,0.005570433862479184,5.5704338624791845,True,5.5704338624791845,5.586377642704291
0.003352500000000003,3.352500000000003,0.0055879697374339315,5.587969737433932,True,5.587969737433932,5.602063055733727
0.0035283333333333364,3.5283333333333364,0.005605505612388679,5.605505612388679,True,5.605505612388679,5.617807793257843
0.00370416666666667,3.7041666666666697,0.005623041487343427,5.623041487343428,True,5.623041487343428,5.633611106185816
0.0037123745819397994,3.7123745819397995,0.0056238600635095054,5.623860063509506,True,5.623860063509506,5.634350224779422
0.0038799999999999998,3.88,0.005640605104962653,5.640605104962653,True,5.640605104962653,5.649472252264387
0.004055833333333333,4.055833333333333,0.005658170081024066,5.658170081024066,True,5.658170081024066,5.665390496042731
0.0042316666666666666,4.2316666666666665,0.005675735057085478,5.675735057085478,True,5.675735057085478,5.681365108837378
0.004331103678929766,4.331103678929766,0.005685668376933932,5.685668376933932,True,5.685668376933932,5.69042372776283
0.0044075,4.4075,0.005693312740195837,5.693312740195837,True,5.693312740195837,5.6973953686972525
