z_m,z_cm,B_T,B_mT
-0.013000000000000001,-1.3,0.0023933839305349176,2.3933839305349176
-0.0126703125,-1.26703125,0.0024497754438713368,2.449775443871337
-0.012340625,-1.2340625,0.0025068249749304987,2.5068249749304985
-0.0120109375,-1.20109375,0.002564521534799902,2.5645215347999017
-0.01168125,-1.168125,0.002622853207756864,2.622853207756864
-0.011351562499999999,-1.1351562499999999,0.0026818071335053223,2.6818071335053224
-0.011021875,-1.1021875,0.0027413694907425976,2.7413694907425974
-0.0106921875,-1.0692187499999999,0.0028015254821885135,2.8015254821885134
-0.0103625,-1.0362500000000001,0.002862259321212316,2.862259321212316
-0.0100328125,-1.0032812500000001,0.002923554220195401,2.923554220195401
-0.009703125,-0.9703125,0.002985392380769944,2.985392380769944
-0.0093734375,-0.93734375,0.003047754986074941,3.047754986074941
-0.00904375,-0.9043749999999999,0.0031106221951719983,3.1106221951719983
-0.0087140625,-0.8714062499999999,0.0031739731397633646,3.1739731397633646
-0.008384375,-0.8384375,0.003237785923353961,3.237785923353961
-0.0080546875,-0.8054687500000001,0.003302037622997773,3.302037622997773
-0.007725,-0.7725,0.003366704293766552,3.3667042937665523
-0.007395312499999999,-0.73953125,0.003431760976075551,3.4317609760755508
-0.007065624999999999,-0.7065625,0.003497181705996695,3.4971817059966948
-0.006735937499999999,-0.6735937499999999,0.003562939528684337,3.562939528684337
-0.00640625,-0.640625,0.003629006515032368,3.629006515032368
-0.0060765624999999995,-0.60765625,0.0036953537816739935,3.6953537816739934
-0.005746874999999999,-0.5746874999999999,0.0037619515144268383,3.7619515144268383
-0.005417187499999999,-0.5417187499999999,0.0038287689952763563,3.828768995276356
-0.005087500000000001,-0.50875,0.0038957746329794382,3.895774632979438
-0.0047578125,-0.47578125000000004,0.003962935997358168,3.962935997358168
-0.004428125,-0.4428125,0.004030219857340128,4.030219857340128
-0.0040984375,-0.40984374999999995,0.00409759222278749,4.0975922227874895
-0.00376875,-0.376875,0.0041650183901411715,4.165018390141172
-0.0034390624999999994,-0.34390624999999997,0.00423246299188993,4.232462991889929
-0.0031093749999999993,-0.3109374999999999,0.0042998900498563124,4.299890049856312
-0.002779687499999999,-0.27796874999999993,0.004367263032272722,4.367263032272723
-0.002449999999999999,-0.24499999999999988,0.0044345449146011625,4.434544914601163
-0.002120312499999999,-0.2120312499999999,0.004501698244029776,4.501698244029775
