z_m,z_cm,B_T,B_mT,beam_radius_mm,s_average,eta_available,force_scale,force_margin_fraction,eta_design,v_design_m_s,delta_eff_MHz
0.0,0.0,-0.0012061103387012405,-1.2061103387012404,5.935483870967742,0.5313919377744567,0.34699930479372815,0.9778387636723637,0.022161236327636336,0.3393093711946688,245.0,-2.6919958930640497
9.25e-05,0.00925,-0.0011939159157909821,-1.1939159157909822,5.93608064516129,0.5312850979003182,0.3469537440342172,0.9778387636723637,0.022161236327636336,0.33926482011791664,244.93195475146274,-2.6919019858441113
0.000185,0.0185,-0.0011817197087059027,-1.1817197087059026,5.936677419354838,0.5311782902442392,0.34690819065852263,0.9778387636723637,0.022161236327636336,0.3392202762613464,244.8638995317054,-2.691808103667741
0.00027749999999999997,0.027749999999999997,-0.001169521715696313,-1.169521715696313,5.937274193548387,0.5310715147932666,0.34686264466553984,0.9778387636723637,0.022161236327636336,0.33917573962387787,244.79583433096283,-2.6917142465261743
0.00037,0.037,-0.0011573219350104092,-1.1573219350104091,5.937870967741936,0.5309647715344544,0.3468171060541644,0.9778387636723637,0.022161236327636336,0.33913121020443115,244.72775913945796,-2.6916204144106364
0.0004625,0.04625,-0.0011451203648942423,-1.1451203648942423,5.938467741935484,0.5308580604548631,0.34677157482329185,0.9778387636723637,0.022161236327636336,0.33908668800192626,244.65967394740187,-2.6915266073123925
0.0005549999999999999,0.055499999999999994,-0.001132917003591751,-1.132917003591751,5.939064516129033,0.530751381541559,0.34672605097181775,0.9778387636723637,0.022161236327636336,0.3390421730152832,244.59157874499374,-2.691432825222654
0.0006475,0.06475,-0.001120711849344721,-1.120711849344721,5.939661290322581,0.5306447347816159,0.34668053449863756,0.9778387636723637,0.022161236327636336,0.33899766524342195,244.52347352242077,-2.6913390681327094
0.00074,0.074,-0.0011085049003928082,-1.1085049003928082,5.9402580645161285,0.5305381201621134,0.34663502540264673,0.9778387636723637,0.022161236327636336,0.33895316468526243,244.45535826985832,-2.6912453360337913
0.0008325,0.08325,-0.001096296154973518,-1.096296154973518,5.940854838709677,0.5304315376701378,0.34658952368274093,0.9778387636723637,0.022161236327636336,0.3389086713397248,244.38723297746964,-2.6911516289171513
0.000925,0.0925,-0.0010840856113222153,-1.0840856113222153,5.941451612903226,0.5303249872927818,0.3465440293378154,0.9778387636723637,0.022161236327636336,0.33886418520572875,244.31909763540608,-2.691057946774062
0.0010175,0.10175,-0.0010718732676721057,-1.0718732676721057,5.942048387096774,0.530218469017145,0.34649854236676597,0.9778387636723637,0.022161236327636336,0.33881970628219454,244.25095223380694,-2.690964289595785
0.0011099999999999999,0.11099999999999999,-0.0010596591222542479,-1.059659122254248,5.942645161290323,0.5301119828303323,0.3464530627684877,0.9778387636723637,0.022161236327636336,0.3387752345680418,244.18279676279954,-2.690870657373581
