z_m,z_mm,B_T,B_mT,in_original_range,B_original_interp_mT,B_degree6_unanchored_mT,B_original_T,B_original_mT,equivalent_detuning_MHz,field_offset_removed_mT
-0.013,-13.0,-0.0007926031775441003,-0.7926031775441003,False,,4.5215191236478365,0.0044625398393585,4.462539839358589,-526.447731260968,5.2551430169026006
-0.0128241666666666,-12.824166666666668,-0.0007866137384726002,-0.7866137384726002,False,,4.527508562719267,0.00446852927843,4.468529278430019,-526.447731260968,5.2551430169026006
-0.0126483333333333,-12.648333333333332,-0.0007804618313096007,-0.7804618313096007,False,,4.533660469882261,0.004474681185593,4.474681185593016,-526.447731260968,5.2551430169026006
-0.0124725,-12.472499999999998,-0.0007741489957202004,-0.7741489957202005,False,,4.539973305471723,0.0044809940211824,4.480994021182476,-526.447731260968,5.2551430169026006
-0.0122966666666666,-12.296666666666663,-0.0007676767609418999,-0.7676767609418998,False,,4.54644554024999,0.0044874662559607,4.487466255960743,-526.447731260968,5.2551430169026006
-0.0121208333333333,-12.120833333333332,-0.0007610466458279003,-0.7610466458279003,False,,4.553075655364015,0.0044940963710747,4.494096371074769,-526.447731260968,5.2551430169026006
-0.0119449999999999,-11.945,-0.0007542601588892001,-0.7542601588892001,False,,4.559862142302656,0.0045008828580134,4.5008828580134095,-526.447731260968,5.2551430169026006
-0.0117691666666666,-11.769166666666663,-0.0007473187983379004,-0.7473187983379004,False,,4.566803502854005,0.0045078242185647,4.507824218564759,-526.447731260968,5.2551430169026006
-0.0115933333333333,-11.593333333333332,-0.0007402240521290999,-0.7402240521290999,False,,4.57389824906284,0.0045149189647735,4.514918964773592,-526.447731260968,5.2551430169026006
-0.0114174999999999,-11.4175,-0.0007329773980038002,-0.7329773980038001,False,,4.581144903188136,0.0045221656188988,4.522165618898891,-526.447731260968,5.2551430169026006
-0.0112416666666666,-11.241666666666664,-0.0007255803035312001,-0.7255803035312002,False,,4.588541997660669,0.0045295627133714,4.529562713371424,-526.447731260968,5.2551430169026006
-0.0110658333333333,-11.065833333333332,-0.0007180342261512004,-0.7180342261512004,False,,4.596088075040701,0.0045371087907514,4.537108790751454,-526.447731260968,5.2551430169026006
-0.01089,-10.89,-0.0007103406132161006,-0.7103406132161005,False,,4.603781687975751,0.0045448024036865,4.544802403686504,-526.447731260968,5.2551430169026006
-0.0107141666666666,-10.714166666666667,-0.0007025009020335,-0.7025009020335,False,,4.611621399158439,0.0045526421148691,4.552642114869191,-526.447731260968,5.2551430169026006
-0.0105383333333333,-10.538333333333334,-0.0006945165199074999,-0.6945165199075,False,,4.6196057812844336,0.0045606264969951,4.560626496995188,-526.447731260968,5.2551430169026006
-0.0103625,-10.3625,-0.0006863888841814004,-0.6863888841814004,False,,4.62773341701047,0.0045687541327212,4.568754132721223,-526.447731260968,5.2551430169026006
-0.0101866666666666,-10.186666666666667,-0.0006781194022795001,-0.6781194022795001,False,,4.636002898912441,0.0045770236146231,4.577023614623194,-526.447731260968,5.2551430169026006
-0.0100108333333333,-10.010833333333334,-0.0006697094717483002,-0.6697094717483002,False,,4.644412829443593,0.0045854335451543,4.585433545154347,-526.447731260968,5.2551430169026006
-0.009835,-9.835,-0.0006611604802991,-0.6611604802991,False,,4.652961820892791,0.0045939825366035,4.593982536603544,-526.447731260968,5.2551430169026006
-0.0096591666666666,-9.659166666666666,-0.0006524738058490001,-0.6524738058490002,False,,4.661648495342878,0.0046026692110536,4.602669211053631,-526.447731260968,5.2551430169026006
-0.0094833333333333,-9.483333333333333,-0.0006436508165628,-0.6436508165628,False,,4.670471484629107,0.0046114922003398,4.61149220033986,-526.447731260968,5.2551430169026006
-0.0093075,-9.3075,-0.0006346928708942006,-0.6346928708942006,False,,4.679429430297647,0.0046204501460084,4.6204501460084,-526.447731260968,5.2551430169026006
-0.0091316666666666,-9.131666666666666,-0.0006256013176277001,-0.6256013176277001,False,,4.688520983564211,0.0046295416992749,4.629541699274964,-526.447731260968,5.2551430169026006
-0.0089558333333333,-8.955833333333333,-0.0006163774959192002,-0.6163774959192002,False,,4.697744805272729,0.0046387655209834,4.638765520983483,-526.447731260968,5.2551430169026006
-0.00878,-8.78,-0.0006070227353378007,-0.6070227353378007,False,,4.707099565854112,0.0046481202815648,4.648120281564865,-526.447731260968,5.2551430169026006
