z_m,B_T,B_mT,B_original_T,B_original_mT,original_detuning_MHz,equivalent_detuning_MHz,field_offset_removed_mT
0.0,0.0,0.0,0.0052551430169026,5.255143016902623,-600.0,-526.447731260968,5.2551430169026006
0.0001851851851851,1.8307097164399315e-05,0.018307097164399315,0.005273450114067,5.2734501140670735,-600.0,-526.447731260968,5.2551430169026006
0.0003703703703703,3.662311337199967e-05,0.03662311337199967,0.0052917661302746,5.291766130274611,-600.0,-526.447731260968,5.2551430169026006
0.0005555555555555,5.494806167109963e-05,0.05494806167109963,0.0053100910785737,5.310091078573764,-600.0,-526.447731260968,5.2551430169026006
0.0007407407407407,7.328195514230001e-05,0.07328195514230001,0.0053284249720449,5.328424972044924,-600.0,-526.447731260968,5.2551430169026006
0.0009259259259259,9.162480689779966e-05,0.09162480689779967,0.0053467678238004,5.34676782380042,-600.0,-526.447731260968,5.2551430169026006
0.0011111111111111,0.00010997663008199994,0.10997663008199994,0.0053651196469846,5.365119646984661,-600.0,-526.447731260968,5.2551430169026006
0.0012962962962962,0.0001283374378715993,0.1283374378715993,0.0053834804547742,5.383480454774225,-600.0,-526.447731260968,5.2551430169026006
0.0014814814814814,0.00014670724347530008,0.14670724347530006,0.0054018502603779,5.40185026037798,-600.0,-526.447731260968,5.2551430169026006
0.0016666666666666,0.00016508606013449986,0.16508606013449986,0.0054202290770371,5.420229077037187,-600.0,-526.447731260968,5.2551430169026006
0.0018518518518518,0.00018347390112299997,0.18347390112299997,0.0054386169180256,5.438616918025623,-600.0,-526.447731260968,5.2551430169026006
0.002037037037037,0.00020187077974699943,0.20187077974699943,0.0054570137966496,5.45701379664967,-600.0,-526.447731260968,5.2551430169026006
0.0022222222222222,0.00022027670934580013,0.22027670934580013,0.0054754197262484,5.4754197262484645,-600.0,-526.447731260968,5.2551430169026006
0.0024074074074074,0.0002386917032912994,0.2386917032912994,0.0054938347201939,5.493834720193972,-600.0,-526.447731260968,5.2551430169026006
0.0025925925925925,0.00025711577498850006,0.2571157749885001,0.0055122587918911,5.512258791891126,-600.0,-526.447731260968,5.2551430169026006
0.0027777777777777,0.0002755489378752996,0.2755489378752996,0.0055306919547779,5.530691954777919,-600.0,-526.447731260968,5.2551430169026006
0.0029629629629629,0.00029399120542289957,0.2939912054228996,0.0055491342223255,5.549134222325546,-600.0,-526.447731260968,5.2551430169026006
0.0031481481481481,0.00031244259113589936,0.31244259113589934,0.0055675856080385,5.567585608038507,-600.0,-526.447731260968,5.2551430169026006
0.0033333333333333,0.00033090310855199943,0.33090310855199945,0.0055860461254546,5.586046125454694,-600.0,-526.447731260968,5.2551430169026006
0.0035185185185185,0.0003493727712429,0.3493727712429,0.0056045157881455,5.60451578814556,-600.0,-526.447731260968,5.2551430169026006
0.0037037037037037,0.00036785159281349945,0.36785159281349944,0.0056229946097161,5.622994609716186,-600.0,-526.447731260968,5.2551430169026006
0.0038888888888888,0.0003863395869028001,0.3863395869028001,0.0056414826038054,5.6414826038054455,-600.0,-526.447731260968,5.2551430169026006
0.004074074074074,0.0004048367671833997,0.4048367671833997,0.005659979784086,5.659979784086065,-600.0,-526.447731260968,5.2551430169026006
0.0042592592592592,0.00042334314736219934,0.42334314736219936,0.0056784861642648,5.6784861642648,-600.0,-526.447731260968,5.2551430169026006
0.0044444444444444,0.0004418587411798994,0.44185874117989943,0.0056970017580825,5.6970017580825045,-600.0,-526.447731260968,5.2551430169026006
0.0046296296296296,0.0004603835624115999,0.4603835624115999,0.0057155265793142,5.715526579314281,-600.0,-526.447731260968,5.2551430169026006
0.0048148148148148,0.00047891762486699987,0.47891762486699985,0.0057340606417696,5.734060641769602,-600.0,-526.447731260968,5.2551430169026006
0.005,0.0004974609423897998,0.49746094238979977,0.0057526039592924,5.752603959292404,-600.0,-526.447731260968,5.2551430169026006
0.0051851851851851,0.0005160135288585993,0.5160135288585993,0.0057711565457612,5.771156545761225,-600.0,-526.447731260968,5.2551430169026006
0.0053703703703703,0.0005345753981866996,0.5345753981866995,0.0057897184150893,5.78971841508933,-600.0,-526.447731260968,5.2551430169026006
0.0055555555555555,0.0005531465643222001,0.5531465643222001,0.0058082895812248,5.808289581224821,-600.0,-526.447731260968,5.2551430169026006
0.0057407407407407,0.0005717270412480997,0.5717270412480997,0.0058268700581507,5.826870058150771,-600.0,-526.447731260968,5.2551430169026006
0.0059259259259259,0.0005903168429826997,0.5903168429826997,0.0058454598598853,5.845459859885339,-600.0,-526.447731260968,5.2551430169026006
0.0061111111111111,0.0006089159835791997,0.6089159835791996,0.0058640590004818,5.864059000481891,-600.0,-526.447731260968,5.2551430169026006
0.0062962962962962,0.0006275244771264997,0.6275244771264997,0.0058826674940291,5.882667494029122,-600.0,-526.447731260968,5.2551430169026006
0.0064814814814814,0.0006461423377485996,0.6461423377485996,0.0059012853546512,5.9012853546512085,-600.0,-526.447731260968,5.2551430169026006
0.0066666666666666,0.0006647695796052995,0.6647695796052995,0.0059199125965079,5.9199125965079,-600.0,-526.447731260968,5.2551430169026006
0.0068518518518518,0.0006834062168920001,0.6834062168920001,0.0059385492337946,5.93854923379464,-600.0,-526.447731260968,5.2551430169026006
0.007037037037037,0.0007020522638400998,0.7020522638400998,0.0059571952807427,5.95719528074273,-600.0,-526.447731260968,5.2551430169026006
0.0072222222222222,0.0007207077347167997,0.7207077347167997,0.0059758507516194,5.975850751619433,-600.0,-526.447731260968,5.2551430169026006
0.0074074074074074,0.0007393726438253995,0.7393726438253996,0.005994515660728,5.994515660728096,-600.0,-526.447731260968,5.2551430169026006
0.0075925925925925,0.0007580470055055999,0.7580470055055999,0.0060131900224082,6.013190022408287,-600.0,-526.447731260968,5.2551430169026006
0.0077777777777777,0.0007767308341332995,0.7767308341332996,0.0060318738510359,6.031873851035912,-600.0,-526.447731260968,5.2551430169026006
0.0079629629629629,0.0007954241441207,0.7954241441207001,0.0060505671610233,6.050567161023372,-600.0,-526.447731260968,5.2551430169026006
