z_m,B_T,B_mT
0.0,0.005255143016902623,5.255143016902623
0.00018518518518518518,0.005273450114067073,5.2734501140670735
0.00037037037037037035,0.00529176613027461,5.291766130274611
0.0005555555555555556,0.005310091078573764,5.310091078573764
0.0007407407407407407,0.005328424972044924,5.328424972044924
0.0009259259259259259,0.00534676782380042,5.34676782380042
0.0011111111111111111,0.005365119646984661,5.365119646984661
0.0012962962962962963,0.005383480454774225,5.383480454774225
0.0014814814814814814,0.00540185026037798,5.40185026037798
0.0016666666666666666,0.005420229077037187,5.420229077037187
0.0018518518518518517,0.005438616918025623,5.438616918025623
0.002037037037037037,0.00545701379664967,5.45701379664967
0.0022222222222222222,0.005475419726248465,5.4754197262484645
0.002407407407407407,0.005493834720193972,5.493834720193972
0.0025925925925925925,0.005512258791891126,5.512258791891126
0.0027777777777777775,0.005530691954777919,5.530691954777919
0.002962962962962963,0.005549134222325546,5.549134222325546
0.003148148148148148,0.005567585608038507,5.567585608038507
0.003333333333333333,0.005586046125454694,5.586046125454694
0.0035185185185185185,0.005604515788145559,5.60451578814556
0.0037037037037037034,0.0056229946097161865,5.622994609716186
0.0038888888888888888,0.0056414826038054455,5.6414826038054455
0.004074074074074074,0.005659979784086065,5.659979784086065
0.004259259259259259,0.0056784861642648,5.6784861642647995
0.0044444444444444444,0.005697001758082505,5.6970017580825045
0.004629629629629629,0.005715526579314281,5.715526579314281
0.004814814814814814,0.005734060641769602,5.734060641769602
0.005,0.005752603959292404,5.752603959292404
0.005185185185185185,0.005771156545761225,5.771156545761225
0.00537037037037037,0.005789718415089329,5.78971841508933
0.005555555555555555,0.005808289581224821,5.808289581224821
0.005740740740740741,0.005826870058150771,5.826870058150771
0.005925925925925926,0.005845459859885339,5.845459859885339
0.0061111111111111106,0.005864059000481891,5.864059000481891
0.006296296296296296,0.005882667494029123,5.882667494029122
0.006481481481481481,0.005901285354651209,5.9012853546512085
0.006666666666666666,0.0059199125965079,5.9199125965079
0.006851851851851851,0.0059385492337946395,5.93854923379464
0.007037037037037037,0.00595719528074273,5.95719528074273
