z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm,acceptance_residual_with_start_0p1mT_deadband_mT
0.0,5.255143016902623,5.191785908929553,-0.0633571079730697,True,-0.0
0.2890625,5.283735558779547,5.229405998759029,-0.0543295600205183,True,-0.0
0.578125,5.312328100656471,5.266759768477355,-0.0455683321791159,True,-0.0
0.8671874999999999,5.34096076140445,5.303840147698129,-0.03712061370632,True,-0.0
1.15625,5.369599978543806,5.340640456288619,-0.0289595222551872,True,-0.0
1.4453125,5.398272923066425,5.377154424390271,-0.0211184986761529,True,-0.0
1.7343749999999998,5.426959044799248,5.413376212127633,-0.0135828326716146,True,-0.0
2.0234375,5.455672439090254,5.44930042894029,-0.0063720101499634,True,-0.0
2.3125,5.484405696631728,5.484922152471031,0.0005164558393019,True,0.0
2.6015625,5.513159707784544,5.52023694694184,0.0070772391572966,True,0.0
2.890625,5.541940334255722,5.555240880948251,0.0133005466925279,True,0.0
3.1796875,5.570735130473074,5.589930544601244,0.0191954141281697,True,0.0
3.46875,5.5995633609229705,5.624303065945317,0.0247397050223462,True,0.0
3.7578125,5.628399111526612,5.658356126580374,0.0299570150537626,True,0.0
4.046875,5.657275182954586,5.692087976414782,0.0348127934601955,True,0.0
4.335937499999999,5.68615205839511,5.7254974474766405,0.0393453890815305,True,0.0
4.625,5.715076209773591,5.758583966710307,0.0435077569367163,True,0.0
4.9140625,5.7440003611520725,5.791347567685387,0.0473472065333144,True,0.0
5.203124999999999,5.772966853937923,5.823788901145987,0.0508220472080636,True,0.0
5.4921875,5.801939326235501,5.855909244328693,0.0539699180931918,True,0.0
5.78125,5.830947531173869,5.887710508978694,0.056762977804825,True,0.0
6.070312499999999,5.859968567378702,5.919195247994863,0.0592266806161614,True,0.0
6.359375,5.889018660409959,5.950366660636076,0.0613480002261178,True,0.0
6.6484375,5.91808850555356,5.9812285962229375,0.0631400906693771,True,0.0
6.937499999999999,5.94718066381133,6.011785556271167,0.0646048924598371,True,0.0
