z_mm,B_sim_mT
-20.0,0.5651131865140494
-19.75,0.5925217279254504
-19.5,0.6204934445270726
-19.25,0.6490356521340451
-19.0,0.6781555883598497
-18.75,0.70786040189633
-18.5,0.7381571413336547
-18.25,0.7690527435127739
-18.000000000000004,0.8005540214035474
-17.750000000000004,0.8326676515024694
-17.5,0.8654001607446972
-17.25,0.8987579129260137
-17.0,0.9327470946313108
-16.75,0.9673737006672622
-16.5,1.002643518998021
-16.25,1.0385621151840474
-16.0,1.0751348163255425
-15.75,1.112366694513442
-15.5,1.1502625497925116
-15.25,1.188826892642806
-15.0,1.2280639259875479
-14.75,1.2679775267374485
-14.5,1.3085712268835505
-14.25,1.3498481941528437
-14.0,1.3918112122432493
-13.75,1.434462660656986
-13.5,1.4778044941538955
-13.250000000000002,1.521838221849027
-13.000000000000002,1.5665648859815675
-12.750000000000002,1.6119850403851697
-12.5,1.6580987286927982
-12.25,1.7049054623123596
-12.0,1.7524041982127558
-11.75,1.800593316563313
-11.5,1.8494705982731061
-11.25,1.8990332024802892
-11.0,1.9492776440451873
-10.75,2.00019977110471
-10.5,2.0517947427494225
-10.25,2.104057006888479
-10.0,2.1569802783715506
-9.75,2.210557517440721
-9.5,2.264780908589313
-9.25,2.3196418399083982
-9.000000000000002,2.3751308830056654
-8.75,2.431237773585022
-8.5,2.4879513927790184
-8.25,2.5452597493297073
-8.0,2.603149962716989
-7.75,2.661608247336667
-7.5,2.7206198978334935
-7.249999999999999,2.7801692756972254
-6.999999999999999,2.840239797232214
-6.750000000000001,2.9008139230132164
-6.500000000000001,2.961873148941937
-6.25,3.02339799902026
-6.0,3.0853680199571274
-5.75,3.1477617777265707
-5.5,3.2105568561944495
-5.249999999999999,3.2737298579309497
-5.000000000000001,3.337256407324842
-4.750000000000001,3.4011111561137817
-4.500000000000001,3.465267791442644
-4.25,3.5296990465588434
-4.0,3.5943767142498544
-3.75,3.6592716631237456
-3.4999999999999996,3.724353856828234
-3.2499999999999996,3.7895923762977928
-2.999999999999999,3.854955445111519
-2.749999999999999,3.920410458036836
-2.4999999999999987,3.985924012825626
-2.2499999999999987,4.051461945320107
-1.9999999999999982,4.116989367915625
-1.7500000000000016,4.182470711416682
-1.5000000000000013,4.24786977031066
-1.250000000000001,4.313149751471284
-1.0000000000000009,4.378273326290638
-0.7500000000000007,4.443202686224411
-0.5000000000000004,4.507899601720703
-0.2500000000000002,4.572325484487172
0.0,4.636441453035786
0.2500000000000002,4.700208401428005
0.5000000000000004,4.763587071126631
0.7500000000000007,4.826538125843572
1.0000000000000009,4.889022229255511
1.250000000000001,4.951000125442196
1.5000000000000013,5.0124327218846485
1.7500000000000016,5.073281174843326
1.9999999999999982,5.133506976919164
2.2499999999999987,5.193072046583719
2.4999999999999987,5.251938819448195
2.749999999999999,5.31007034102546
2.999999999999999,5.367430360724019
3.2499999999999996,5.423983426798612
3.4999999999999996,5.4796949819687635
3.75,5.53453145940432
4.0,5.58846037876577
4.25,5.641450441977344
4.500000000000001,5.693471628402301
4.750000000000001,5.744495289082808
5.000000000000001,5.794494239701178
5.250000000000001,5.84344285191555
5.500000000000002,5.8913171427206015
5.750000000000002,5.9380948614836235
6.000000000000002,5.983755574307443
6.249999999999998,6.0282807453746985
6.499999999999999,6.071653814932901
6.749999999999999,6.113860273586241
6.999999999999999,6.154887732568477
7.249999999999999,6.194725989681307
7.5,6.233367090594323
7.75,6.270805385215883
8.0,6.307037578859056
8.25,6.342062777942792
8.5,6.37588252998604
8.75,6.408500857670844
9.000000000000002,6.4399242867701005
9.250000000000002,6.470161867755898
9.500000000000002,6.499225190925443
9.750000000000002,6.527128394903085
9.999999999999998,6.553888168398793
10.249999999999998,6.579523745125609
10.499999999999998,6.604056891800547
10.75,6.627511889175444
11.0,6.649915506065772
11.25,6.671296966366663
11.5,6.691687909065726
11.75,6.7111223412822545
12.0,6.729636584380995
12.25,6.747269213226772
12.5,6.764060988662951
12.750000000000002,6.78005478331239
