z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm
-13.0,4.4625398393585,1.5665648859815675,-2.8959749533769323,False
-12.6703125,4.473912197197624,1.626608491068045,-2.8473037061295785,False
-12.340625,4.485848197266123,1.6878579957746642,-2.797990201491459,False
-12.010937499999999,4.498337925411384,1.7503116732297466,-2.748026252181638,False
-11.681249999999999,4.511371591669098,1.8139660765604577,-2.6974055151086405,False
-11.351562499999998,4.524939529326022,1.8788159494035586,-2.646123579922463,False
-11.021875,4.539032193985173,1.9448541361447844,-2.5941780578403892,False
-10.6921875,4.5536401626348475,2.0120714922629914,-2.541568670371856,False
-10.3625,4.5687541327212,2.0804567951896713,-2.4882973375315287,False
-10.032812499999999,4.584382303837898,2.149996656129618,-2.43438564770828,False
-9.703125,4.600497542441072,2.2206754333240233,-2.379822109117049,False
-9.3734375,4.617090916382675,2.2924751472730507,-2.324615769109624,False
-9.04375,4.634153610129148,2.3653753984704617,-2.2687782116586863,False
-8.714062499999999,4.651676923851424,2.439353288238033,-2.2123236356133904,False
-8.384374999999999,4.669652272517649,2.514383343281697,-2.155268929235952,False
-8.0546875,4.688071184989797,2.5904374446243845,-2.097633740365412,False
-7.725,4.706925303123394,2.667484761601831,-2.039440541521563,False
-7.395312499999999,4.726221305546423,2.745491691636799,-1.9807296139096238,False
-7.065624999999999,4.745935517049171,2.8244218065335818,-1.9215137105155888,False
-6.735937499999999,4.766059926748183,2.904235806057971,-1.861824120690212,False
-6.406249999999999,4.786586633025597,2.9848914795873376,-1.8016951534382593,False
-6.0765625,4.807507842646369,3.0663436766306456,-1.7411641660157235,False
-5.746874999999999,4.828815869879097,3.1485442870284372,-1.6802715828506598,False
-5.417187499999999,4.850503135619821,3.231442231647445,-1.6190609039723756,False
-5.0875,4.872562166519293,3.3149834643830847,-1.5575787021362082,False
-4.7578125,4.894998319060635,3.3991109862747706,-1.4958873327858644,False
-4.428125,4.917791054463422,3.483764872523501,-1.4340261819399212,False
-4.098437499999999,4.940933224197861,3.5688823131777063,-1.3720509110201553,False
-3.7687499999999994,4.964417781876046,3.654397668221519,-1.3100201136545275,False
-3.4390624999999995,4.988237782396606,3.740242537758966,-1.24799524463764,False
-3.109374999999999,5.012386381093297,3.8263458479376715,-1.186040533155625,False
-2.779687499999999,5.036856832885846,3.9126339531960683,-1.124222879689777,False
-2.449999999999999,5.061642491435492,3.999030755348908,-1.0626117360865839,False
-2.120312499999999,5.086747574970822,4.085457839946499,-1.0012897350243224,False
-1.7906249999999988,5.1121543779660445,4.171834630253894,-0.9403197477121502,False
-1.4609374999999987,5.137856557163595,4.258078559097184,-0.8797779980664108,False
-1.1312499999999985,5.1638478645494965,4.344105258715265,-0.8197426058342309,False
-0.8015624999999984,5.190122146525118,4.429828768637625,-0.7602933778874925,False
-0.4718749999999983,5.216673343083446,4.515161761481978,-0.7015115816014685,False
-0.14218749999999822,5.243495175056323,4.60001578643106,-0.6434793886252628,False
0.0,5.2551430169026006,4.636441453035786,-0.6187015638668136,True
0.1875000000000019,5.2736895305525,4.684301530006171,-0.5893880005463292,True
0.5171875000000002,5.306300483720194,4.767929093607356,-0.5383713901128381,True
0.8468750000000004,5.338948275875702,4.850808287137391,-0.4881399887383111,True
1.1765625000000006,5.3716124640725,4.93284893787066,-0.4387635262018399,True
1.5062500000000005,5.404320267647855,5.013961213569836,-0.3903590540780197,True
1.8359375000000007,5.437037952435051,5.094055958694549,-0.3429819937405022,True
2.165625000000001,5.469806095502505,5.173045042389132,-0.29676105311337264,True
2.495312500000001,5.502580882919384,5.250841716782328,-0.25173916613705544,True
2.8249999999999993,5.5354063541919,5.327360983982825,-0.20804537020907565,True
3.1546875000000014,5.568241878109778,5.402519970012559,-0.16572190809721957,True
3.4843749999999996,5.601121643649927,5.476238303786565,-0.12488333986336239,True
3.8140625000000017,5.634018238939599,5.54843849912615,-0.08557973981344891,True
4.14375,5.666952569054705,5.6190463376827475,-0.04790623137195752,True
4.473437500000002,5.699910573645377,5.687991250555006,-0.011919323090370422,True
4.8031250000000005,5.732899740893255,5.755206696303219,0.02230695540996353,True
5.132812500000002,5.765919495811466,5.82063053300416,0.05471103719269406,True
5.4625,5.7989637750265,5.884205381947662,0.08524160692116156,True
5.7921875000000025,5.832045624435632,5.945878980554315,0.11383335611868298,True
6.121875,5.865145292755752,6.005604522092619,0.14045922933686622,True
6.451562500000002,5.8982895839962035,6.063340979794239,0.1650513957980361,True
