z_mm,B_sim_mT
-20.0,0.279053342520448
-19.75,0.30383741390154717
-19.5,0.329211555934219
-19.25,0.35518577413741553
-19.0,0.3817700865067265
-18.75,0.40897451358539183
-18.5,0.4368090679466649
-18.25,0.4652837430695138
-18.000000000000004,0.49440850158992605
-17.750000000000004,0.5241932629104382
-17.5,0.5546478901509665
-17.25,0.5857821764245779
-17.0,0.6176058304224882
-16.75,0.650128461293359
-16.5,0.6833595628028595
-16.25,0.7173084967604912
-16.0,0.7519844757018325
-15.75,0.7873965448156761
-15.5,0.8235535631070033
-15.25,0.8604641837883572
-15.0,0.8981368338939809
-14.75,0.9365796931130531
-14.5,0.9758006718405425
-14.25,1.0158073884465093
-14.0,1.0566071457672903
-13.75,1.0982069068247142
-13.5,1.140613269782511
-13.250000000000002,1.18383244215224
-13.000000000000002,1.2278702142644877
-12.750000000000002,1.272731932024742
-12.5,1.3184224689771882
-12.25,1.3649461977038098
-12.0,1.412306960590505
-11.75,1.460508039996476
-11.5,1.5095521278679738
-11.25,1.559441294842499
-11.0,1.610176958894772
-10.75,1.6617598535812959
-10.5,1.714189995945922
-10.25,1.7674666541547364
-10.0,1.8215883149345578
-9.75,1.8765526508955304
-9.5,1.9323564878246287
-9.25,1.988995772043243
-9.000000000000002,2.046465537928636
-8.75,2.104759875705508
-8.5,2.1638718996205895
-8.25,2.223793716619729
-8.0,2.28451639565344
-7.75,2.346029937743352
-7.5,2.4083232469482674
-7.249999999999999,2.471384102374621
-6.999999999999999,2.535199131382032
-6.750000000000001,2.5997537841400797
-6.500000000000001,2.665032309697798
-6.25,2.7310177337319193
-6.0,2.7976918381443747
-5.75,2.8650351426831344
-5.5,2.933026888763589
-5.249999999999999,3.0016450256700984
-5.000000000000001,3.070866199318872
-4.750000000000001,3.14066574376419
-4.500000000000001,3.211017675629738
-4.25,3.2818946916457943
-4.0,3.353268169470733
-3.75,3.42510817197203
-3.4999999999999996,3.4973834551374354
-3.2499999999999996,3.570061479781243
-2.999999999999999,3.6431084272035057
-2.749999999999999,3.716489218951656
-2.4999999999999987,3.790167540824188
-2.2499999999999987,3.8641058712448046
-1.9999999999999982,3.9382655141228353
-1.7500000000000016,4.0126066363014585
-1.5000000000000013,4.087088309679841
-1.250000000000001,4.161668558078055
-1.0000000000000009,4.23630440889531
-0.7500000000000007,4.310951949592043
-0.5000000000000004,4.385566389005255
-0.2500000000000002,4.460102123483926
0.0,4.534512807807666
0.2500000000000002,4.608751430827
0.5000000000000004,4.682770395737843
0.7500000000000007,4.756521604876163
1.0000000000000009,4.829956548891448
1.250000000000001,4.90302640012983
1.5000000000000013,4.975682110029329
1.7500000000000016,5.047874510301431
1.9999999999999982,5.119554417644764
2.2499999999999987,5.190672741708547
2.4999999999999987,5.2611805959957785
2.749999999999999,5.331029411369286
2.999999999999999,5.400171051797613
3.2499999999999996,5.468557931953055
3.4999999999999996,5.536143136250624
3.75,5.602880538895113
4.0,5.6687249244835005
4.25,5.733632108692412
4.500000000000001,5.797559058564911
4.750000000000001,5.860464011898223
5.000000000000001,5.922306595223982
5.250000000000001,5.983047939865609
5.500000000000002,6.0426507955533895
5.750000000000002,6.101079641077161
6.000000000000002,6.158300791459102
6.249999999999998,6.214282501135086
6.499999999999999,6.268995062642517
6.749999999999999,6.322410900325466
6.999999999999999,6.374504658584301
7.249999999999999,6.425253284216664
7.5,6.474636102419763
7.75,6.5226348860501755
8.0,6.569233917766538
8.25,6.6144200447127695
8.5,6.658182725434129
8.75,6.700514068755626
9.000000000000002,6.74140886439162
9.250000000000002,6.780864605096618
9.500000000000002,6.818881500209879
9.750000000000002,6.8554624804904964
9.999999999999998,6.890613194184278
10.249999999999998,6.924341994309012
