atom_index,initial_velocity_m_s,in_0_to_210mps_design_window,initially_below_50mps,ideal_final_position_mm,ideal_final_velocity_m_s,ideal_exited_185mm,ideal_success_final_0_to_50mps,run05_200_magnets_final_position_mm,run05_200_magnets_final_velocity_m_s,run05_200_magnets_exited_185mm,run05_200_magnets_success_final_0_to_50mps
0,313.0086587905257,False,False,185.0000000000025,312.8779106047983,True,False,185.0000000000025,312.8779949490495,True,False
1,423.2758131477944,False,False,185.0,423.2447442479794,True,False,185.0,423.24475178324843,True,False
2,164.09368954679826,True,False,185.0,33.165354068086124,True,True,185.0,32.92996079458292,True,True
3,123.38696940674218,True,False,185.0,33.147114883951204,True,True,185.0,32.90635729329965,True,True
4,438.4617849575805,False,False,185.0,438.4350036362868,True,False,185.0,438.4350095486688,True,False
5,368.8617552312034,False,False,185.0,368.8045105257498,True,False,185.0,368.80453110275903,True,False
6,231.83228341749933,False,False,185.00000000000017,230.44822739443737,True,False,185.00000000000014,230.4543944020408,True,False
7,184.8525160304553,True,False,185.0,33.16673505410174,True,True,185.0,32.93178420769983,True,True
8,83.93764807234123,True,False,185.0000000000068,32.96845820972808,True,True,185.000000000002,32.68884345695464,True,True
9,157.18851537827837,True,False,185.0,33.164395177278834,True,True,185.0,32.928684626381866,True,True
10,382.820092107478,False,False,184.99999999999997,382.77182597775766,True,False,185.0,382.77184144647845,True,False
11,323.60984775511486,False,False,185.00000000000236,323.5005613682696,True,False,185.00000000000236,323.5006231339172,True,False
12,451.3480114770174,False,False,185.00000000000034,451.32425907448004,True,False,185.00000000000034,451.3242639326194,True,False
13,305.81701267179085,False,False,185.0000000000001,305.6681495790783,True,False,185.00000000000014,305.66825540616753,True,False
14,165.33865477489127,True,False,185.0,33.16548921239795,True,True,185.0,32.930099843884186,True,True
15,489.3830342222233,False,False,185.0,489.3659027646157,True,False,185.0,489.3659057300921,True,False
16,204.14978934106097,True,False,185.0,33.16717701996617,True,True,185.0,32.93232223170378,True,True
17,104.65788786353065,True,False,185.0,33.1082243473176,True,True,185.0,32.85662347817165,True,True
18,226.4829361350636,False,False,185.00000000000014,224.50800108757193,True,False,185.0000000000001,224.51986757409026,True,False
19,208.1026944993033,True,False,185.0,33.16728538345992,True,True,185.0,32.93250300388645,True,True
20,328.4887529928532,False,False,185.0,328.38769542591575,True,False,184.99999999999997,328.38774938733553,True,False
21,444.5715914566409,False,False,185.0,444.54630809769486,True,False,185.00000000000003,444.54631349044087,True,False
22,408.5568731314106,False,False,185.00000000000082,408.5207011297904,True,False,185.00000000000085,408.5207107170645,True,False
23,289.17360870529336,False,False,185.00000000000006,288.9662711766861,True,False,185.00000000000006,288.9664614008457,True,False
24,52.89751710030882,True,False,185.0,31.586444293406863,True,True,185.0,31.251032022195112,True,True
25,108.99043243489484,True,False,185.000000000001,33.12126356339249,True,True,185.0000000000018,32.87358605983108,True,True
26,152.78944584798225,True,False,185.0,33.16355302196724,True,True,185.0,32.92755565967782,True,True
27,79.64097687752195,True,False,185.0,32.90945287796326,True,True,185.0,32.62146521739843,True,True
28,321.0791421072822,False,False,185.00000000000009,320.96521217734875,True,False,185.00000000000003,320.9652785332418,True,False
29,452.2696480928258,False,False,185.00000000000028,452.2460940910725,True,False,185.00000000000028,452.24609889108257,True,False
30,279.8175416042424,False,False,185.00000000000003,279.5617110856049,True,False,185.00000000000006,279.5619882062059,True,False
31,428.3703506688772,False,False,185.00000000000057,428.34081828109,True,False,185.0000000000006,428.34082516800174,True,False
32,119.57307716949296,True,False,185.00000000000003,33.14220055593875,True,True,185.0,32.9001166508269,True,True
33,501.9526527448026,False,False,185.00000000000017,501.9371535409739,True,False,185.00000000000017,501.93715601021853,True,False
34,193.8677132599241,True,False,185.0,33.16698499652408,True,True,184.99999999999997,32.932146219992354,True,True
35,226.32083622487832,False,False,185.00000000000009,224.32160182735095,True,False,185.00000000000006,224.33373787496126,True,False
36,473.0204303173387,False,False,185.00000000000034,473.0008046259394,True,False,185.00000000000037,473.00080818703805,True,False
37,123.348826808345,True,False,185.0,33.14707132988619,True,True,185.0,32.90630070372546,True,True
38,397.7141486269309,False,False,185.00000000000009,397.67345612765087,True,False,185.00000000000009,397.6734677894271,True,False
39,280.4102136755687,False,False,185.00000000000009,280.1579219084928,True,False,185.00000000000006,280.1581921788964,True,False
