field_source,source_atom_file,saturation_model,s_average,n_samples,laser_power_mW,beam_radius_mm,slower_length_mm,design_input_velocity_m_s,design_final_velocity_m_s,MOT_capture_velocity_m_s,all_atoms_success_count,all_atoms_success_percent,captured_and_exited_count,captured_and_exited_percent,design_window_atom_count,design_window_fraction_percent,design_window_success_count,design_window_success_percent,initially_below_MOT_count,newly_slowed_count,newly_slowed_percent_of_all,mean_initial_velocity_m_s,mean_final_velocity_m_s
ideal,D:\新建文件夹 (4)\Yb171_Zeeman_optimization\runs\11_tapered_variable_s_280mps_185mm\Yb171_tapered_variable_s_280mps_tapered_atomic_EXP_DATA_5000atoms.csv,constant_transverse_average_s,0.292514396548062,5000,35.0,8.0,185.0,210.0,35.0,50.0,1498,29.959999999999997,1496,29.92,1475,29.5,1475,100.0,25,1473,29.459999999999997,281.4611237496944,246.01878654655548
run05_200_magnets,D:\新建文件夹 (4)\Yb171_Zeeman_optimization\runs\11_tapered_variable_s_280mps_185mm\Yb171_tapered_variable_s_280mps_tapered_atomic_EXP_DATA_5000atoms.csv,constant_transverse_average_s,0.292514396548062,5000,35.0,8.0,185.0,210.0,35.0,50.0,1497,29.94,1495,29.9,1475,29.5,1475,100.0,25,1472,29.439999999999998,281.4611237496944,245.9859505661699
