region,rms_error_mT,mae_mT,max_abs_error_mT,max_abs_error_position_mm
whole_0_185mm,0.044761438319480304,0.03555179190457226,0.120120666071137,182.5046875
start_0_30mm,0.038568569872002134,0.03335283267313449,0.0672982736827842,8.100000000000001
middle_30_155mm,0.044861388233694274,0.0346929249132502,0.1180411221503828,150.8546875
end_155_185mm,0.049827060148249225,0.0412889097198259,0.120120666071137,182.5046875
