z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm
-13.0,4.4625398393585,1.5534215140184544,-2.9091183253400454,False
-12.6703125,4.473912197197624,1.6136741402579664,-2.8602380569396573,False
-12.340625,4.485848197266123,1.6751541934446246,-2.8106940038214985,False
-12.010937499999999,4.498337925411384,1.7378605529799918,-2.760477372431393,False
-11.681249999999999,4.511371591669098,1.8017903593070863,-2.709581232362012,False
-11.351562499999998,4.524939529326022,1.866938921191936,-2.6580006081340852,False
-11.021875,4.539032193985173,1.9332996225811758,-2.6057325714039976,False
-10.6921875,4.5536401626348475,2.000863829417837,-2.552776333217011,False
-10.3625,4.5687541327212,2.0696207968335067,-2.4991333358876933,False
-10.032812499999999,4.584382303837898,2.1395575771721473,-2.444824726665751,False
-9.703125,4.600497542441072,2.2106589293381274,-2.389838613102945,False
-9.3734375,4.617090916382675,2.282907229998958,-2.3341836863837164,False
-9.04375,4.634153610129148,2.3562823872107668,-2.2778712229183813,False
-8.714062499999999,4.651676923851424,2.4307617570719566,-2.220915166779467,False
-8.384374999999999,4.669652272517649,2.506320064047013,-2.163332208470636,False
-8.0546875,4.688071184989797,2.5829293256377563,-2.10514185935204,False
-7.725,4.706925303123394,2.6605587821130525,-2.0463665210103414,False
-7.395312499999999,4.726221305546423,2.73917483203954,-1.9870464735068822,False
-7.065624999999999,4.745935517049171,2.818740974384764,-1.9271945426644066,False
-6.735937499999999,4.766059926748183,2.8992177579897302,-1.8668421687584527,False
-6.406249999999999,4.786586633025597,2.9805627392296477,-1.8060238937959494,False
-6.0765625,4.807507842646369,3.0627304486989333,-1.7447773939474363,False
-5.746874999999999,4.828815869879097,3.145672367768725,-1.6831435021103718,False
-5.417187499999999,4.850503135619821,3.229336915871655,-1.6211662197481662,False
-5.0875,4.872562166519293,3.3136694493686547,-1.558892717150638,False
-4.7578125,4.894998319060635,3.398612272845647,-1.496386046214988,False
-4.428125,4.917791054463422,3.48410466367328,-1.433686390790142,False
-4.098437499999999,4.940933224197861,3.570082910640044,-1.3708503135578176,False
-3.7687499999999994,4.964417781876046,3.656480367437303,-1.3079374144387432,False
-3.4390624999999995,4.988237782396606,3.743227521733789,-1.2450102606628173,False
-3.109374999999999,5.012386381093297,3.830252080526152,-1.182134300567144,False
-2.779687499999999,5.036856832885846,3.9174790723912873,-1.1193777604945583,False
-2.449999999999999,5.061642491435492,4.0048309671945495,-1.0568115242409426,False
-2.120312499999999,5.086747574970822,4.09222781372612,-0.994519761244702,False
-1.7906249999999988,5.1121543779660445,4.179587395644922,-0.932566982321123,False
-1.4609374999999987,5.137856557163595,4.266825406006393,-0.8710311511572018,False
-1.1312499999999985,5.1638478645494965,4.353855640536722,-0.8099922240127743,False
-0.8015624999999984,5.190122146525118,4.440590209692789,-0.7495319368323291,False
-0.4718749999999983,5.216673343083446,4.526939769414037,-0.6897335736694093,False
-0.14218749999999822,5.243495175056323,4.612813770331056,-0.6306814047252665,False
0.0,5.2551430169026006,4.649679842713029,-0.6054631741895713,True
0.1875000000000019,5.2736895305525,4.698120725046347,-0.5755688055061534,True
0.5171875000000002,5.306300483720194,4.782768492946803,-0.5235319907733911,True
0.8468750000000004,5.338948275875702,4.866664581846084,-0.47228369402961806,True
1.1765625000000006,5.3716124640725,4.949716465589766,-0.42189599848273424,True
1.5062500000000005,5.404320267647855,5.031831916588428,-0.372488351059427,True
1.8359375000000007,5.437037952435051,5.112919352075485,-0.32411860035956586,True
2.165625000000001,5.469806095502505,5.192888192719401,-0.27691790278310413,True
2.495312500000001,5.502580882919384,5.271649232056043,-0.23093165086334083,True
2.8249999999999993,5.5354063541919,5.349115015048032,-0.18629133914386825,True
3.1546875000000014,5.568241878109778,5.425200223926697,-0.14304165418308096,True
3.4843749999999996,5.601121643649927,5.499822069330166,-0.10129957431976189,True
3.8140625000000017,5.634018238939599,5.5729006846207225,-0.06111755431887668,True
4.14375,5.666952569054705,5.644359521147692,-0.022593047907012997,True
4.473437500000002,5.699910573645377,5.714125742120831,0.014215168475453788,True
4.8031250000000005,5.732899740893255,5.782130612675108,0.04923087178185324,True
5.132812500000002,5.765919495811466,5.848309883642843,0.08239038783137714,True
5.4625,5.7989637750265,5.9126041665044715,0.11364039147797149,True
5.7921875000000025,5.832045624435632,5.974959296966083,0.14291367253045117,True
6.121875,5.865145292755752,6.035326684611319,0.17018139185556638,True
6.451562500000002,5.8982895839962035,6.093663646097513,0.19537406210130923,True
6.781250000000001,5.931444920889789,6.149933719411619,0.21848879852182956,True
7.110937500000003,5.964652004520089,6.204106956770265,0.23945495225017632,True
7.440625000000001,5.997865999745919,6.256160193839699,0.258294194093781,True
7.770312500000003,6.031133521651516,6.306077293064729,0.2749437714132125,True
8.100000000000001,6.0644107335779,6.353849359029764,0.2894386254518643,True
8.4296875,6.097734776722594,6.399474923928135,0.30174014720554204,True
8.759375000000002,6.131075563370627,6.442960101386292,0.3118845380156651,True
9.0890625,6.164456416824352,6.484318707075044,0.3198622902506913,True
9.418750000000001,6.197861139574305,6.523572344738243,0.32571120516393814,True
9.7484375,6.231299094879551,6.56075045647788,0.3294513615983291,True
10.078125000000002,6.264768118514455,6.595890336350281,0.3311222178358254,True
10.4078125,6.298263469715726,6.629037106548577,0.3307736368328507,True
10.737500000000002,6.3317971624665,6.660243655668622,0.3284464932021228,True
11.067187500000001,6.365350206140907,6.689570538776328,0.324220332635421,True
11.396875000000003,6.398948939731253,6.7170858392111805,0.3181368994799282,True
11.7265625,6.432559975018545,6.742864992270695,0.31030501725214965,True
12.056250000000002,6.466224124711706,6.766990571121725,0.30076644641001926,True
12.3859375,6.499895471650406,6.789552035474026,0.289656563823619,True
12.715625000000003,6.53362339799113,6.810645443728182,0.2770220457370522,True
13.045312500000001,6.567360615347805,6.8303731294719245,0.26301251412411997,True
13.375000000000004,6.6011474464124,6.848843343345067,0.2476958969326662,True
13.704687500000002,6.634950917662511,6.8661698614233835,0.23121894376087246,True
14.034375,6.668796963158827,6.882471561385212,0.21367459822638474,True
14.364062500000001,6.702667075476628,6.897871967821939,0.1952048923453114,True
14.69375,6.736572647836005,6.9124987681357295,0.1759261202997249,True
15.023437500000002,6.770509792144376,6.926483300535913,0.15597350839153656,True
15.353125,6.80447520655528,6.939960015701442,0.13548480914616234,True
15.682812500000004,6.838479777576191,6.953065913722735,0.11458613614654355,True
16.0125,6.8725053520184,6.965939957974994,0.09343460595659467,True
16.3421875,6.906577748324606,6.978722467609236,0.0721447192846298,True
16.671875000000004,6.9406638036039805,6.9915544903808575,0.050890686776876304,True
17.001562500000006,6.974804427671028,7.0045771575712825,0.02977272990025391,True
17.33125,7.008952554861921,7.017931022800587,0.008978467938665878,True
17.660937500000003,7.043160545714676,7.031755386581318,-0.011405159133358322,True
17.990625,7.077377388042605,7.046187608530009,-0.031189779512596008,True
18.320312500000004,7.111646839462455,7.061362409236799,-0.050284430225655714,True
