z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm
-13.0,-9.8247730502789,-3.4687144557779566,6.356058594500943,False
-12.6703125,-9.777292380798771,-3.5361309835773027,6.241161397221468,False
-12.340625,-9.729787061577545,-3.6043548559153895,6.125432205662156,False
-12.010937499999999,-9.682256601229065,-3.6733679427922827,6.008888658436782,False
-11.681249999999999,-9.634700872332932,-3.743150359524528,5.891550512808403,False
-11.351562499999998,-9.587120156137738,-3.8136804092822247,5.773439746855513,False
-11.021875,-9.539513569197387,-3.884934526860323,5.6545790423370645,False
-10.6921875,-9.49188175553735,-3.956887223984849,5.5349945315525,False
-10.3625,-9.444224238823299,-4.029511036472451,5.414713202350848,False
-10.032812499999999,-9.396540867553025,-4.102776473579314,5.293764393973711,False
-9.703125,-9.34883194378096,-4.176651969892301,5.1721799738886585,False
-9.3734375,-9.301096578837267,-4.251103840131625,5.049992738705643,False
-9.04375,-9.253335409665015,-4.326096237249639,4.927239172415376,False
-8.714062499999999,-9.2055479760424,-4.4015911142247806,4.8039568618176185,False
-8.384374999999999,-9.15773410132463,-4.477548189962617,4.680185911362013,False
-8.0546875,-9.109894108902362,-4.5539249197273515,4.55596918917501,False
-7.725,-9.062027105412128,-4.630676470536826,4.431350634875301,False
-7.395312499999999,-9.014133719654435,-4.7077557019614815,4.306378017692954,False
-7.065624999999999,-8.96621350858002,-4.78511315277299,4.181100355807031,False
-6.735937499999999,-8.918266269341466,-4.862697033890734,4.055569235450731,False
-6.406249999999999,-8.870292347195878,-4.940453228074001,3.9298391191218767,False
-6.0765625,-8.82229084461581,-5.018325296804282,3.8039655478115293,False
-5.746874999999999,-8.774262381199408,-5.096254494794965,3.678007886404443,False
-5.417187499999999,-8.726206532130002,-5.174179792555195,3.5520267395748064,False
-5.0875,-8.67812306729742,-5.252037907419986,3.426085159877435,False
-4.7578125,-8.630012354355097,-5.329763343439969,3.300249010915128,False
-4.428125,-8.58187349214219,-5.407288440500887,3.174585051641303,False
-4.098437499999999,-8.53370708999376,-5.484543433015489,3.049163656978272,False
-3.7687499999999994,-8.485512742386245,-5.561456518497815,2.92405622388843,False
-3.4390624999999995,-8.437290190886266,-5.63795393629294,2.799336254593326,False
-3.109374999999999,-8.389039826074015,-5.713960056693066,2.675079769380949,False
-2.779687499999999,-8.34076074368502,-5.789397480624072,2.551363263060948,False
-2.449999999999999,-8.292453541731291,-5.864187150034839,2.4282663916964524,False
-2.120312499999999,-8.24411783504244,-5.9382484690653445,2.3058693659770952,False
-1.7906249999999988,-8.195753335801893,-6.011499436008542,2.1842538997933514,False
-1.4609374999999987,-8.147360458046368,-6.083856786015785,2.0635036720305826,False
-1.1312499999999985,-8.098938294938195,-6.155236144426291,1.9437021505119045,False
-0.8015624999999984,-8.05048743210587,-6.225552190528282,1.8249352415775892,False
-0.4718749999999983,-8.002007505792516,-6.294718831483399,1.7072886743091167,False
-0.14218749999999822,-7.9534981977380275,-6.362649386067263,1.5908488116707642,False
0.0,-7.9325471085013,-6.391543171799738,1.5410039367015618,True
0.1875000000000019,-7.904941242292971,-6.42925677779828,1.4756844644946916,True
0.5171875000000002,-7.856377298219407,-6.494453736944763,1.361923561274644,True
0.8468750000000004,-7.807783787124077,-6.558153010817463,1.2496307763066135,True
1.1765625000000006,-7.759160018401216,-6.620267581672098,1.138892436729118,True
1.5062500000000005,-7.710506193609351,-6.680710891464745,1.0297953021446062,True
1.8359375000000007,-7.66182222772655,-6.739397072622963,0.9224251551035872,True
2.165625000000001,-7.613107711330385,-6.796241183918764,0.8168665274116216,True
2.495312500000001,-7.564363172443857,-6.8511594504558975,0.7132037219879598,True
2.8249999999999993,-7.5155875831324135,-6.90406950671556,0.6115180764168539,True
3.1546875000000014,-7.466781838879828,-6.954890641541341,0.5118911973384871,True
3.4843749999999996,-7.417945045039809,-7.0035440438880405,0.4144010011517688,True
3.8140625000000017,-7.3690776521333525,-7.049953048109852,0.31912460402350096,True
4.14375,-7.320179326170905,-7.094043377522772,0.22613594864813286,True
4.473437500000002,-7.271249894621984,-7.135743384944685,0.13550650967729916,True
4.8031250000000005,-7.222289648650585,-7.174984288894696,0.047305359755888364,True
5.132812500000002,-7.173297784915019,-7.2117004041222845,-0.03840261920726607,True
5.4625,-7.124275093942675,-7.245829365136371,-0.12155427119369625,True
5.7921875000000025,-7.07522053445489,-7.277312341415696,-0.20209180696080606,True
6.121875,-7.02613481700607,-7.306094243004485,-0.2799594259984151,True
6.451562500000002,-6.977017347466712,-7.332123915232053,-0.35510656776534083,True
6.781250000000001,-6.927868200928898,-7.355354321341096,-0.4274861204121979,True
7.110937500000003,-6.8786874208660995,-7.375742711867326,-0.4970552910012263,True
7.440625000000001,-6.829474438909904,-7.393250779682121,-0.5637763407722162,True
7.770312500000003,-6.780229935628151,-7.407844799689675,-0.627614864061524,True
8.100000000000001,-6.730952716697015,-7.419495752259988,-0.6885430355629725,True
8.4296875,-6.681643764314954,-7.428179429578467,-0.746535665263514,True
8.759375000000002,-6.632302212491438,-7.433876524200449,-0.8015743117090113,True
9.0890625,-6.582928395197667,-7.436572699214131,-0.8536443040164636,True
9.418750000000001,-6.533522096849968,-7.436258639536793,-0.9027365426868255,True
9.7484375,-6.484082994945714,-7.432930083995524,-0.9488470890498101,True
10.078125000000002,-6.434611532586068,-7.426587837973756,-0.9919763053876877,True
10.4078125,-6.385106722434265,-7.417237766537262,-1.0321310441029976,True
10.737500000000002,-6.335569463753401,-7.404890768086697,-1.0693213043332972,True
11.067187500000001,-6.285998728642901,-7.389562728716474,-1.1035640000735727,True
11.396875000000003,-6.236395121767961,-7.371274457590682,-1.1348793358227214,True
11.7265625,-6.18675815655231,-7.3500516037744275,-1.163293447222118,True
12.056250000000002,-6.137087767795575,-7.325924555081798,-1.1888367872862227,True
12.3859375,-6.087384141038696,-7.298928319618822,-1.2115441785801258,True
12.715625000000003,-6.037646532590542,-7.269102390809739,-1.2314558582191972,True
13.045312500000001,-5.98787572784391,-7.236490596796692,-1.2486148689527816,True
13.375000000000004,-5.938070538641424,-7.201140935195724,-1.2630703965543004,True
13.704687500000002,-5.888231852749934,-7.163105394274826,-1.274873541524892,True
14.034375,-5.838358900061538,-7.1224397616919175,-1.2840808616303798,True
14.364062500000001,-5.788451884692347,-7.079203421991893,-1.2907515372995457,True
14.69375,-5.738510722477486,-7.033459144111404,-1.2949484216339184,True
15.023437500000002,-5.688534924980541,-6.985272860178044,-1.2967379351975028,True
15.353125,-5.638525102915573,-6.934713436916759,-1.2961883340011855,True
15.682812500000004,-5.5884800662656335,-6.8818524409907775,-1.2933723747251442,True
16.0125,-5.5384008333051336,-6.826763899607378,-1.2883630663022438,True
16.3421875,-5.48828639242416,-6.769524057710702,-1.2812376652865414,True
16.671875000000004,-5.438137229683006,-6.710211133065194,-1.272073903382188,True
17.001562500000006,-5.387952978439846,-6.648905070504389,-1.2609520920645427,True
17.33125,-5.337733417718989,-6.585687296581778,-1.2479538788627886,True
17.660937500000003,-5.287478890282892,-6.520640475813838,-1.2331615855309466,True
17.990625,-5.237188458797328,-6.453848269650887,-1.2166598108535598,True
18.320312500000004,-5.186863023602026,-6.385395099250231,-1.1985320756482052,True
18.65,-5.136501405103745,-6.315365913058982,-1.178864507955237,True
18.9796875,-5.086104384588641,-6.243845960141791,-1.1577415755531506,True
19.309375000000003,-5.0356712994995,-6.170920570112674,-1.1352492706131747,True
19.639062500000005,-4.985202209163849,-6.096674940450985,-1.1114727312871364,True
19.96875,-4.934697175393606,-6.021193931900268,-1.086496756506662,True
20.298437500000002,-4.8841555259266745,-5.944561872566271,-1.0604063466395963,True
20.628125000000004,-4.833578037194678,-5.8668623712474846,-1.0332843340528068,True
20.957812500000006,-4.7829633538266645,-5.788178140449187,-1.0052147866225223,True
21.2875,-4.732312566312327,-5.708590829450633,-0.976278263138306,True
21.617187500000004,-4.681624702030385,-5.62818086771569,-0.9465561656853052,True
21.946875000000006,-4.630900114131002,-5.547027318860337,-0.9161272047293352,True
22.276562500000008,-4.580138569784997,-5.465207745316444,-0.8850691755314466,True
22.606250000000003,-4.529339674849746,-5.382798083760993,-0.8534584089112474,True
22.9359375,-4.478503946279857,-5.299872531313298,-0.8213685850334403,True
23.265625000000004,-4.427630232538767,-5.216503442440634,-0.7888732099018666,True
23.595312500000006,-4.376719560216837,-5.132761236454769,-0.7560416762379327,True
23.925,-4.3257707609969485,-5.0487143154288985,-0.7229435544319502,True
24.254687500000003,-4.274784496093327,-4.964428992316038,-0.689644496222712,True
24.584375000000005,-4.223760223607052,-4.879969429006625,-0.6562092053995728,True
24.9140625,-4.172697841264097,-4.795397584024227,-0.6226997427601294,True
25.243750000000002,-4.121597573187968,-4.71077316952474,-0.5891755963367715,True
25.573437500000004,-4.070458543170601,-4.626153617235127,-0.5556950740645263,True
25.903125000000006,-4.0192816492663646,-4.541594052943486,-0.5223124036771217,True
26.2328125,-3.9680655384633283,-4.457147279132022,-0.48908174066869364,True
26.562500000000004,-3.916811195052232,-4.372863765328793,-0.45605257027656054,True
26.892187500000006,-3.865517752847275,-4.28879164574227,-0.42327389289499584,True
27.221875000000008,-3.8141854159416724,-4.204976723734681,-0.3907913077930091,True
27.551562500000003,-3.762814100924326,-4.121462482685635,-0.3586483817613088,True
27.881250000000005,-3.7114032208839647,-4.038290102796272,-0.3268868819123077,True
28.210937500000004,-3.6599534860334075,-3.955498483385892,-0.29554499735248446,True
28.540625000000006,-3.608463507483468,-3.873124270237413,-0.26466076275394496,True
28.8703125,-3.556934450739078,-3.791201887554955,-0.2342674368158767,True
29.200000000000003,-3.505365161834405,-3.7097635741057804,-0.20439841227137562,True
29.529687500000005,-3.4537561665287693,-3.6288394231298353,-0.17508325660106627,True
29.859375,-3.4021070583532564,-3.548457425612661,-0.1463503672594047,True
30.189062500000002,-3.350417554438423,-3.468643516531438,-0.11822596209301552,True
30.518750000000004,-3.298688059607578,-3.3894216236991115,-0.09073356409153385,True
30.848437500000006,-3.2469174710021136,-3.310813718847578,-0.06389624784546455,True
31.178125,-3.195106820772511,-3.2328398706078696,-0.037733049835358794,True
31.507812500000004,-3.1432547606413994,-3.155518299062547,-0.012263538421147281,True
31.837500000000006,-3.091362154188118,-3.078865431563424,0.012496722624693885,True
32.167187500000004,-3.0394282554863703,-3.0028959595256866,0.03653229596068362,True
32.496875,-2.987453101284023,-2.9276228959275246,0.0598302053564986,True
32.8265625,-2.9354367751929074,-2.8530576332624897,0.08237914193041755,True
33.15625000000001,-2.8833784753629086,-2.7792100017095924,0.10416847365331619,True
